pathway,criterion,support_status,single_median_SRE,six_rotation_median_SRE,D29_reference_SRE,single_SRE_ratio,six_rotation_SRE_ratio,SRE_ratio_shift,SRE_fraction_original_shortfall_closed,single_SRE_pass,six_rotation_SRE_pass
h_D->C1,C1,support_equivalent,0.5316324917356217,0.529692243223321,0.6252491501173607,0.8502730337751487,0.847169873199982,-0.0031031605751666858,-0.020725462175641356,False,False
h_D->C2,C2,support_equivalent,0.3663563836989725,0.37532884530775756,0.3049148696475096,1.2015038299788106,1.230929950191175,0.02942612021236446,,True,True
h_D->C3,C3,support_mismatch,0.3601928823888923,0.34629188339751416,0.4220320343087468,0.8534728482847472,0.820534592746523,-0.03293825553822427,-0.22479284659974427,False,False
h_D->C4,C4,support_equivalent,0.3063603749964333,0.31187789576573366,0.32269510335210616,0.9493803029981235,0.9664785505760545,0.01709824757793099,0.3377785445317293,False,False
h_D->C6,C6,support_equivalent,0.4915041459465993,0.45012801256363993,0.4123214319717975,1.1920412276318875,1.0916920093409754,-0.10034921829091203,,True,True
h_D->C7,C7,support_equivalent,0.3053622305133061,0.3066113183134782,0.27257109898658916,1.1203030389085025,1.1248856516829904,0.004582612774487904,,True,True
h_E->C6,C6,support_equivalent,0.3174050578572481,0.29668824844853176,0.27555688651992993,1.151867630186377,1.0766860236935993,-0.07518160649277772,,True,True
h_I->C2,C2,support_equivalent,0.2601255793086318,0.24655339738145982,0.20048975060267737,1.2974507600846805,1.229755619129227,-0.06769514095545359,,True,True
h_I->C4,C4,support_equivalent,0.2891519358676441,0.2973474013558519,0.3327413283163435,0.8689991631960483,0.8936293031599551,0.02463013996390684,0.18801513459617733,False,False
h_I->C5,C5,support_mismatch,0.4705961756005034,0.4446197911729459,0.5701057397882139,0.8254541969272632,0.7798900452012916,-0.04556415172597161,-0.2610440980181236,False,False
h_T->C3,C3,support_mismatch,0.235645266133052,0.22870171587699048,0.29261826954559067,0.8052992265280889,0.781570187781314,-0.0237290387467749,-0.12187439383849301,False,False
h_T->C7,C7,support_equivalent,0.4610049246013025,0.46278133263758225,0.41859298239010767,1.1013202418469334,1.1055640015634405,0.004243759716507034,,True,True
