seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
29001,0,h_D,C1,6,0.04521894442753287,0.4465485316977036,0.10126322497393817
29001,0,h_D,C2,6,0.034867539147345555,0.28142340353801687,0.12389708428195435
29001,0,h_D,C3,5,0.02609225654650654,0.30836659997454813,0.08461440554311578
29001,0,h_D,C4,6,0.027274842456383896,0.25769799973308577,0.10584033436183629
29001,0,h_D,C6,6,0.02244207742911038,0.3456881665551301,0.0649200047904609
29001,0,h_D,C7,6,0.018708604512878264,0.24520117583739545,0.07629899998946019
29001,0,h_E,C6,6,0.015105686570273037,0.23268153812982972,0.0649200047904609
29001,0,h_I,C2,6,0.022849949469419893,0.18442685396240246,0.12389708428195435
29001,0,h_I,C4,6,0.026897853291754228,0.2541361330128117,0.10584033436183629
29001,0,h_I,C5,5,0.056708327900064484,0.45156655141462904,0.12558132953373521
29001,0,h_T,C3,5,0.017196655750055044,0.2032355559253932,0.08461440554311578
29001,0,h_T,C7,6,0.028126194008172387,0.3686312272990348,0.07629899998946019
29001,1,h_D,C1,6,0.045037256788957356,0.4667608522041605,0.09648893341378886
29001,1,h_D,C2,6,0.03521804096009805,0.3002458204067142,0.11729735625325709
29001,1,h_D,C3,5,0.026050462917394802,0.2793096503783737,0.09326732134684781
29001,1,h_D,C4,6,0.027262920021785767,0.27386057294318683,0.09955036509460483
29001,1,h_D,C6,6,0.022615882417469948,0.3749284403568125,0.060320530487289525
29001,1,h_D,C7,6,0.018713380105440935,0.2562035706214291,0.07304105895087601
29001,1,h_E,C6,6,0.014970179801572926,0.24817719075728617,0.060320530487289525
29001,1,h_I,C2,6,0.022859553881658317,0.19488549965360938,0.11729735625325709
29001,1,h_I,C4,6,0.026834552357175342,0.26955754839677726,0.09955036509460483
29001,1,h_I,C5,5,0.057187021949570156,0.4730076750019882,0.12090083305489022
29001,1,h_T,C3,5,0.017472678680622862,0.18733977161686816,0.09326732134684781
29001,1,h_T,C7,6,0.02827160781056573,0.38706459375394353,0.07304105895087601
29001,2,h_D,C1,6,0.04506427115460008,0.4414513848922303,0.10208206995467911
29001,2,h_D,C2,6,0.03545345245902813,0.27990109206521624,0.1266642162671079
29001,2,h_D,C3,5,0.02627463176188656,0.28426523889212596,0.09242998498164276
29001,2,h_D,C4,6,0.027508570954014794,0.2925174125999798,0.09404079815016173
29001,2,h_D,C6,6,0.022813499778565144,0.36815239190538834,0.061967544635863306
29001,2,h_D,C7,6,0.018639773188606483,0.2270055620821886,0.08211152633181228
29001,2,h_E,C6,6,0.015090628856026553,0.24352471837409914,0.061967544635863306
29001,2,h_I,C2,6,0.022888264924263393,0.18070032404271313,0.1266642162671079
29001,2,h_I,C4,6,0.026774019443118288,0.28470642497186777,0.09404079815016173
29001,2,h_I,C5,5,0.057007506390704135,0.42779094410578433,0.13326019911300296
29001,2,h_T,C3,5,0.017529457990460726,0.18965120457124976,0.09242998498164276
29001,2,h_T,C7,6,0.02826643277828072,0.34424439589287326,0.08211152633181228
29001,3,h_D,C1,6,0.044884582003270765,0.4782830307211342,0.09384523204830719
29001,3,h_D,C2,6,0.03505173606472404,0.2570511582683046,0.13636093414479275
29001,3,h_D,C3,5,0.0260172676923617,0.24957882772576853,0.10424469066221953
29001,3,h_D,C4,6,0.027783240950739085,0.2675429465919626,0.10384591073837784
29001,3,h_D,C6,6,0.022661164622100046,0.31894687642214237,0.07104996567449652
29001,3,h_D,C7,6,0.018680078366299677,0.24138806251662132,0.07738609014591195
29001,3,h_E,C6,6,0.01509514901544619,0.2124582168609288,0.07104996567449652
29001,3,h_I,C2,6,0.022801248695441118,0.16721247062639474,0.13636093414479275
