metric,family,pass_count,pseudo_candidate_count,pass_proportion
C1:LRV50,layerA,1836,7776,0.2361111111111111
C1:NSV_vector,layerA,3888,7776,0.5
C2:LRV50,layerA,4374,7776,0.5625
C2:NSV_vector,layerA,3240,7776,0.4166666666666667
C3:LRV50,layerA,3888,7776,0.5
C3:NSV_vector,layerA,5004,7776,0.6435185185185185
C4:LRV50,layerA,3384,7776,0.4351851851851852
C4:NSV_vector,layerA,5832,7776,0.75
C5:LRV50,layerA,3888,7776,0.5
C5:NSV_vector,layerA,1836,7776,0.2361111111111111
C6:LRV50,layerA,1296,7776,0.16666666666666666
C6:NSV_vector,layerA,2592,7776,0.3333333333333333
C7:LRV50,layerA,2592,7776,0.3333333333333333
C7:NSV_vector,layerA,3240,7776,0.4166666666666667
h_D->C1:SRE,reachability,1944,7776,0.25
h_D->C2:SRE,reachability,3888,7776,0.5
h_D->C3:SRE,reachability,2160,7776,0.2777777777777778
h_D->C4:SRE,reachability,3240,7776,0.4166666666666667
h_D->C6:SRE,reachability,3888,7776,0.5
h_D->C7:SRE,reachability,3888,7776,0.5
h_E->C6:SRE,reachability,3240,7776,0.4166666666666667
h_I->C2:SRE,reachability,4536,7776,0.5833333333333334
h_I->C4:SRE,reachability,2160,7776,0.2777777777777778
h_I->C5:SRE,reachability,3888,7776,0.5
h_T->C3:SRE,reachability,2160,7776,0.2777777777777778
h_T->C7:SRE,reachability,3888,7776,0.5
