rotation_25001,rotation_25002,rotation_25003,rotation_25004,rotation_25005,min_normalized_ratio,layerA_joint_pass,reachability_joint_pass,overall_joint_pass
0,0,0,0,0,0.7317454306296416,False,False,False
0,0,0,0,1,0.8174165306186695,False,False,False
0,0,0,0,2,0.7974260780320739,False,False,False
0,0,0,0,3,0.8174165306186695,False,False,False
0,0,0,0,4,0.8174165306186695,False,False,False
0,0,0,0,5,0.8174165306186695,False,False,False
0,0,0,1,0,0.8174165306186695,False,False,False
0,0,0,1,1,0.8656432388998185,False,False,False
0,0,0,1,2,0.8174165306186695,False,False,False
0,0,0,1,3,0.884179213453443,False,False,False
0,0,0,1,4,0.884179213453443,False,False,False
0,0,0,1,5,0.8656432388998185,False,False,False
0,0,0,2,0,0.8174165306186695,False,False,False
0,0,0,2,1,0.884179213453443,False,False,False
0,0,0,2,2,0.8174165306186695,False,False,False
0,0,0,2,3,0.884179213453443,False,False,False
0,0,0,2,4,0.884179213453443,False,False,False
0,0,0,2,5,0.884179213453443,False,False,False
0,0,0,3,0,0.8174165306186695,False,False,False
0,0,0,3,1,0.884179213453443,False,False,False
0,0,0,3,2,0.8174165306186695,False,False,False
0,0,0,3,3,0.884179213453443,False,False,False
0,0,0,3,4,0.884179213453443,False,False,False
0,0,0,3,5,0.884179213453443,False,False,False
0,0,0,4,0,0.8174165306186695,False,False,False
0,0,0,4,1,0.884179213453443,False,False,False
0,0,0,4,2,0.8174165306186695,False,False,False
0,0,0,4,3,0.884179213453443,False,False,False
0,0,0,4,4,0.884179213453443,False,False,False
0,0,0,4,5,0.884179213453443,False,False,False
0,0,0,5,0,0.8174165306186695,False,False,False
0,0,0,5,1,0.8656432388998185,False,False,False
0,0,0,5,2,0.8174165306186695,False,False,False
0,0,0,5,3,0.884179213453443,False,False,False
0,0,0,5,4,0.884179213453443,False,False,False
0,0,0,5,5,0.8656432388998185,False,False,False
0,0,1,0,0,0.7317454306296416,False,False,False
0,0,1,0,1,0.7249554884953544,False,False,False
0,0,1,0,2,0.7974260780320739,False,False,False
0,0,1,0,3,0.7988157429128687,False,False,False
0,0,1,0,4,0.7988157429128687,False,False,False
0,0,1,0,5,0.7340358352876047,False,False,False
0,0,1,1,0,0.7988157429128687,False,False,False
0,0,1,1,1,0.7695119255318558,False,False,False
0,0,1,1,2,0.7988157429128687,False,False,False
0,0,1,1,3,0.7988157429128687,False,False,False
