seed,rotation,criterion,alternative,class,theta,semantic_ceiling,contrast,min_derivative,max_abs_departure,lower_bound_ok,semantic_ceiling_ok,monotonicity_ok,structural_zero_ok
25001,0,C1,A1,D,0.21262906812746674,0.4,-1.0,0.16262906812746675,0.0125,True,True,True,True
25001,0,C1,A2,I,0.12820435277030956,0.2,-0.6,0.09820435277030956,0.0075,True,True,True,True
25001,0,C1,A3,I,0.1616129446274917,0.2,-0.2,0.1516129446274917,0.0025000000000000005,True,True,True,True
25001,0,C1,A4,I,0.10088820811616948,0.2,0.2,0.09088820811616949,0.0025000000000000005,True,True,True,True
25001,0,C1,A5,I,0.09672837597013259,0.2,0.6,0.06672837597013259,0.0075,True,True,True,True
25001,0,C1,A6,D,0.21688572150661267,0.4,1.0,0.16688572150661268,0.0125,True,True,True,True
25001,0,C2,A1,D,0.2015462223402027,0.4,-1.0,0.1515462223402027,0.0125,True,True,True,True
25001,0,C2,A2,D,0.2635756403853219,0.4,-0.6,0.2335756403853219,0.0075,True,True,True,True
25001,0,C2,A3,D,0.3674026234421102,0.4,-0.2,0.3574026234421102,0.0025000000000000005,True,True,True,True
25001,0,C2,A4,I,0.06282790239101588,0.2,0.2,0.052827902391015875,0.0025000000000000005,True,True,True,True
25001,0,C2,A5,I,0.09581809570485975,0.2,0.6,0.06581809570485975,0.0075,True,True,True,True
25001,0,C2,A6,D,0.27112355861088433,0.4,1.0,0.22112355861088434,0.0125,True,True,True,True
25001,0,C3,A1,D,0.29822082031422614,0.4,-1.0,0.24822082031422615,0.0125,True,True,True,True
25001,0,C3,A2,D,0.21693377483800724,0.4,-0.6,0.18693377483800724,0.0075,True,True,True,True
25001,0,C3,A3,I,0.19873126397842333,0.2,-0.2,0.18873126397842332,0.0025000000000000005,True,True,True,True
25001,0,C3,A4,I,0.1518606724878218,0.2,0.2,0.1418606724878218,0.0025000000000000005,True,True,True,True
25001,0,C3,A5,0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
25001,0,C3,A6,I,0.11574177137069985,0.2,1.0,0.06574177137069985,0.0125,True,True,True,True
25001,0,C4,A1,I,0.08417996977177727,0.2,-1.0,0.03417996977177727,0.0125,True,True,True,True
25001,0,C4,A2,I,0.10067885503107984,0.2,-0.6,0.07067885503107985,0.0075,True,True,True,True
