seed,rotation,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
25001,0,A6,860,0.86,140,0.008738042390606186,0.0,0.05999004565201439,0.0624145885043299,0.03604481430266957,0.2000067203163941
25001,1,A3,604,0.604,396,0.03771101368282774,0.0,0.16827842813486452,0.09522983253239328,0.07988703556027929,0.2545797168678561
25001,2,A3,613,0.613,387,0.03073794679533144,0.0,0.14109990528645586,0.07942621910938356,0.06441959140316321,0.2115954728614422
25001,3,A3,727,0.727,273,0.024019629321229505,0.0,0.13955654028547587,0.08798399018765385,0.07348030612779821,0.24177882179862434
25001,4,A2,488,0.488,512,0.054081164790992134,0.006207244201856019,0.18938408393122902,0.10562727498240651,0.09979613753457459,0.21145375522676832
25001,5,A6,857,0.857,143,0.008959912549672962,0.0,0.06250776643957515,0.06265673111659414,0.03694249912265364,0.19949711187922897
25002,0,A4,1000,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25002,1,A4,1000,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25002,2,A4,1000,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25002,3,A4,901,0.901,99,0.004697540900693078,0.0,0.039766880612356434,0.047449908087808884,0.04055003459088824,0.12248877314339433
25002,4,A4,907,0.907,93,0.0043190873038505915,0.0,0.03688086243244608,0.0464417989661354,0.03926080349137221,0.1210743769480473
25002,5,A4,961,0.961,39,0.001118113853495884,0.0,0.0,0.02866958598707395,0.019657470561516434,0.07358418831198725
25003,0,A6,902,0.902,98,0.007925544640456262,0.0,0.0713060953231822,0.08087290449445166,0.07418936259743641,0.1822274882569349
25003,1,A6,646,0.646,354,0.047760878402933596,0.0,0.2172061720736578,0.13491773560150735,0.1361591594582442,0.25024944690614964
25003,2,A6,646,0.646,354,0.04081031352528882,0.0,0.1920839354911333,0.1152833715403639,0.1135686764548097,0.2224078538356857
25003,3,A6,902,0.902,98,0.007939763768066608,0.0,0.07217031000362732,0.08101799763333273,0.07359147155944651,0.18280970531050544
25003,4,A6,902,0.902,98,0.007935212805964454,0.0,0.07189195167348421,0.08097155924453522,0.07391137898335083,0.18261634845750813
25003,5,A6,902,0.902,98,0.00793047049123656,0.0,0.07160285454543193,0.08092316827792408,0.07410051591483471,0.18242227050226434
25004,0,A4,407,0.407,593,0.07709537938849864,0.035558521353276744,0.25223647549550793,0.13000907148144794,0.1227952550758686,0.2650991106761228
25004,1,A4,504,0.504,496,0.04130558033962362,0.0,0.1648676331915638,0.08327737971698312,0.06883854173888743,0.19518163476748748
25004,2,A4,502,0.502,498,0.034285707041687985,0.0,0.14442440621949879,0.06884680128853007,0.05488516302519681,0.17143328850370246
25004,3,A3,452,0.452,548,0.06049059168056553,0.022947034211051147,0.2008806224040076,0.1103842913878933,0.10577014598901482,0.24806104706767892
25004,4,A2,674,0.674,326,0.03493098743346302,0.0,0.2150698596517944,0.10715026820080678,0.0853131485396108,0.26150507143133955
25004,5,A4,334,0.334,666,0.08413342579849055,0.05061536055371023,0.25365149851649066,0.1263264651628987,0.11868425157213845,0.26477632479560265
25005,0,A4,848,0.848,152,0.007759965713550046,0.0,0.06238807944402805,0.05105240601019767,0.04335402626626212,0.12972764174727464
25005,1,A4,998,0.998,2,2.3312767681998408e-05,0.0,0.0,0.011656383840999204,0.011656383840999204,0.017462743997486478
25005,2,A4,998,0.998,2,2.2675202821010724e-05,0.0,0.0,0.011337601410505362,0.011337601410505362,0.01644358028662714
25005,3,A4,740,0.74,260,0.01655390466264388,0.0,0.103339904534974,0.06366886408709184,0.056261401046934986,0.15152410083584053
25005,4,A4,741,0.741,259,0.01647878131567469,0.0,0.10323549807223067,0.06362463828445827,0.05626639051273192,0.15086622223202975
25005,5,A4,740,0.74,260,0.016401032448788534,0.0,0.10226826999497088,0.06308089403380206,0.05570991303683187,0.1499976131087668
