seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
25001,0,h_D,C1,6,0.045522875679127515,0.6646910163179075,0.06848727387747663
25001,0,h_D,C2,6,0.03163580850697806,0.2805728466687038,0.11275434840653903
25001,0,h_D,C3,5,0.03519490366779648,0.4791392944148172,0.07345442980271866
25001,0,h_D,C4,6,0.02743845730444048,0.22389882875047828,0.12254846288095184
25001,0,h_D,C6,6,0.02602251537770793,0.36377832499985135,0.07153399086477949
25001,0,h_D,C7,6,0.023250987379293576,0.28511680071004186,0.08154899087358325
25001,0,h_E,C6,6,0.017362893276419433,0.24272227882542916,0.07153399086477949
25001,0,h_I,C2,6,0.01942386855914093,0.1722671350016174,0.11275434840653903
25001,0,h_I,C4,6,0.02560615984892249,0.2089472135900091,0.12254846288095184
25001,0,h_I,C5,5,0.06119073627035816,0.475134640806983,0.12878609769633895
25001,0,h_T,C3,5,0.024572219994970432,0.3345233236529249,0.07345442980271866
25001,0,h_T,C7,6,0.036502003960709364,0.4476082851453912,0.08154899087358325
25001,1,h_D,C1,6,0.0454990615202288,0.7156018991880553,0.06358152706293524
25001,1,h_D,C2,6,0.03171220883689453,0.3019902404756107,0.10501070758660389
25001,1,h_D,C3,5,0.03515836866986373,0.4220384773165717,0.08330607411198042
25001,1,h_D,C4,6,0.027364203140905614,0.24274616629843143,0.11272764286222092
25001,1,h_D,C6,6,0.026279296680681796,0.38184507556282243,0.0688218818628614
25001,1,h_D,C7,6,0.023236930118412685,0.2937593472764341,0.07910192589123795
25001,1,h_E,C6,6,0.017667274335256767,0.256710131382413,0.0688218818628614
25001,1,h_I,C2,6,0.01937525142303536,0.18450738851437407,0.10501070758660389
25001,1,h_I,C4,6,0.025442862179139214,0.22570206856902467,0.11272764286222092
25001,1,h_I,C5,5,0.06129151008272882,0.49195606960611454,0.12458736433785644
25001,1,h_T,C3,5,0.024416675576472896,0.2930959817330821,0.08330607411198042
