family,parameter,value,pass_numerical,pass_invariants,pass_layerA_D29,pass_reachability_D29,all_D29_historical_gates,min_layerA_ratio_D29,layerA_bottleneck,min_SRE_ratio_D29,SRE_bottleneck,failed_layerA_criteria_D29,failed_reachability_pathways_D29
v2.2-D4-F1,kappa,0.1,True,,False,False,False,0.18487626393800335,C6,0.6498206176996817,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C1,h_D->C3,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.2-D4-F1,kappa,0.2,True,,False,False,False,0.3780115534101106,C6,0.6381623917465589,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C1,h_D->C3,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.2-D4-F1,kappa,0.3,True,,False,False,False,0.5805575279918669,C6,0.6204074146135506,h_T->C3,"C1,C6,C7","h_D->C1,h_D->C3,h_D->C4,h_D->C7,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.2-D4-F1,kappa,0.4,True,,False,False,False,0.7938845743730989,C6,0.6005537160727699,h_T->C3,C6,"h_D->C1,h_D->C3,h_D->C4,h_D->C7,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.2-D4-F1,kappa,0.5,True,,True,False,False,1.019644279709404,C6,0.5801402259580509,h_T->C3,,"h_D->C1,h_D->C2,h_D->C3,h_D->C4,h_D->C7,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.2-D4-F1,kappa,0.6,True,,True,False,False,1.2598561124151435,C6,0.5575806842660352,h_T->C3,,"h_D->C1,h_D->C2,h_D->C3,h_D->C4,h_D->C7,h_I->C2,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.2-D4-F1,kappa,0.7,True,,True,False,False,1.51703077408112,C6,0.5298704064190143,h_T->C3,,"h_D->C1,h_D->C2,h_D->C3,h_D->C4,h_D->C7,h_I->C2,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.2-D4-F1,kappa,0.8,True,,True,False,False,1.7943510273534309,C6,0.5053904882966472,h_T->C3,,"h_D->C1,h_D->C2,h_D->C3,h_D->C4,h_D->C6,h_D->C7,h_I->C2,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.2-D4-F1,kappa,0.9,True,,True,False,False,2.0959463330936523,C6,0.49192086770312915,h_T->C3,,"h_D->C1,h_D->C2,h_D->C3,h_D->C4,h_D->C6,h_D->C7,h_I->C2,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.2-D4-F1,kappa,1.0,True,,True,False,False,2.385170037850347,C6,0.478414882559973,h_T->C3,,"h_D->C1,h_D->C2,h_D->C3,h_D->C4,h_D->C6,h_D->C7,h_E->C6,h_I->C2,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.3-F1,eta,0.1,True,True,False,False,False,0.02785991479464162,C6,0.7044336654525551,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C1,h_D->C3,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.3-F1,eta,0.2,True,True,False,False,False,0.053402808336027986,C6,0.7743352768678725,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C1,h_D->C3,h_I->C4,h_I->C5,h_T->C3"
v2.3-F1,eta,0.3,True,True,False,False,False,0.07690909022057921,C6,0.837481413309377,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C3,h_I->C4,h_I->C5,h_T->C3"
v2.3-F1,eta,0.4,True,True,False,False,False,0.0986152964702458,C6,0.8844318944947649,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C3,h_I->C5,h_T->C3"
v2.3-F1,eta,0.5,True,True,False,False,False,0.11872240755491405,C6,0.923419503321178,h_D->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C3,h_I->C5,h_T->C3"
v2.3-F1,eta,0.6,True,True,False,False,False,0.13740233201236568,C6,0.9550122485829544,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C3,h_I->C5,h_T->C3"
v2.3-F1,eta,0.7,True,True,False,False,False,0.15480301322571768,C6,0.9812756757560286,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C3,h_I->C5,h_T->C3"
v2.3-F1,eta,0.8,True,True,False,False,False,0.17105249043233675,C6,0.9912499614813333,h_I->C5,"C1,C2,C3,C4,C5,C6,C7","h_I->C5,h_T->C3"
v2.3-F1,eta,0.9,True,True,False,True,False,0.18626215671165378,C6,1.0030015882150283,h_I->C5,"C1,C2,C3,C4,C5,C6,C7",
v2.3-F1,eta,1.0,True,True,False,True,False,0.2005293941177289,C6,1.0157443849424226,h_I->C5,"C1,C2,C3,C4,C5,C6,C7",
v2.4-F1,eta,0.1,True,True,False,False,False,0.17577971444147925,C6,0.7435697896120934,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C1,h_D->C3,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.4-F1,eta,0.2,True,True,False,False,False,0.3327212861485824,C6,0.8276203557868497,h_I->C5,"C1,C2,C3,C4,C5,C6,C7","h_D->C3,h_I->C4,h_I->C5,h_T->C3"
v2.4-F1,eta,0.3,True,True,False,False,False,0.5138731794017524,C6,0.8563107398104487,h_I->C5,"C1,C3,C4,C6,C7","h_D->C3,h_I->C4,h_I->C5,h_T->C3"
v2.4-F1,eta,0.4,True,True,False,False,False,0.6728089162350036,C6,0.8564532645264333,h_I->C5,"C1,C6,C7","h_D->C3,h_I->C4,h_I->C5,h_T->C3"
v2.4-F1,eta,0.5,True,True,False,False,False,0.7649635597807761,C6,0.8482704051600183,h_I->C5,C6,"h_D->C3,h_I->C4,h_I->C5"
v2.4-F1,eta,0.6,True,True,False,False,False,0.8418632713458185,C6,0.8422503714650451,h_I->C5,C6,"h_I->C4,h_I->C5"
v2.4-F1,eta,0.7,True,True,False,False,False,0.9217774185932531,C6,0.8403463980760183,h_I->C5,C6,"h_I->C4,h_I->C5"
v2.4-F1,eta,0.8,True,True,True,False,False,1.0118231027450393,C6,0.8405980099669735,h_I->C5,,"h_D->C4,h_I->C4,h_I->C5"
v2.4-F1,eta,0.9,True,True,True,False,False,1.0951596211812127,C6,0.8400488692375462,h_I->C5,,"h_D->C4,h_I->C4,h_I->C5"
v2.4-F1,eta,1.0,True,True,True,False,False,1.172538352059029,C6,0.8283729247387771,h_I->C5,,"h_D->C4,h_I->C4,h_I->C5"
v2.5-F1,eta,0.1,True,True,False,False,False,0.31608107033141813,C6,0.7560252385029814,h_T->C3,"C1,C2,C3,C4,C5,C6,C7","h_D->C1,h_D->C3,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.5-F1,eta,0.2,True,True,False,False,False,0.6003940448063255,C6,0.8353124069521758,h_I->C5,"C1,C3,C5,C6,C7","h_D->C1,h_D->C3,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.5-F1,eta,0.3,True,True,False,False,False,0.8657527047387994,C6,0.8581139599570317,h_I->C5,C6,"h_D->C1,h_D->C3,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.5-F1,eta,0.4,True,True,True,False,False,1.1550194271865681,C6,0.8976040294427413,h_I->C5,,"h_D->C1,h_D->C4,h_I->C4,h_I->C5,h_T->C3"
v2.5-F1,eta,0.5,True,True,True,False,False,1.4205467777890899,C6,0.9011353094182647,h_I->C4,,"h_D->C1,h_D->C4,h_I->C4,h_I->C5,h_T->C3,h_T->C7"
v2.5-F1,eta,0.6,True,True,True,False,False,1.5989766982789013,C6,0.9398226768076773,h_D->C1,,"h_D->C1,h_D->C4,h_I->C4,h_I->C5,h_T->C7"
v2.5-F1,eta,0.7,True,True,True,False,False,1.750639432943832,C6,0.9474186190778445,h_D->C1,,"h_D->C1,h_D->C7,h_I->C5,h_T->C7"
v2.5-F1,eta,0.8,True,True,True,False,False,1.9277224964643813,C6,0.9395933554064086,h_D->C1,,"h_D->C1,h_D->C7,h_I->C5,h_T->C7"
v2.5-F1,eta,0.9,True,True,True,False,False,2.1718559782677826,C6,0.9288721393774741,h_D->C1,,"h_D->C1,h_D->C7,h_I->C5,h_T->C3,h_T->C7"
v2.5-F1,eta,1.0,True,True,True,False,False,2.348954407817675,C6,0.9141821949255017,h_D->C1,,"h_D->C1,h_D->C3,h_D->C7,h_I->C5,h_T->C3,h_T->C7"
v3.0-F1,p,2.0,True,True,False,True,False,0.9560886411212227,C7,1.0200950810672413,h_T->C3,"C5,C7",
v3.0-F1,p,3.0,True,True,True,False,False,1.2644508677452095,C6,0.926555356395143,h_T->C3,,"h_D->C3,h_T->C3"
v3.0-F1,p,4.0,True,True,True,False,False,1.4839686949727902,C6,0.8728170726799185,h_T->C3,,"h_D->C3,h_E->C6,h_I->C4,h_T->C3"
v3.0-F1,p,5.0,True,True,True,False,False,1.5861233388755853,C6,0.8263159103005201,h_T->C3,,"h_D->C3,h_D->C4,h_D->C6,h_E->C6,h_I->C4,h_T->C3"
