world_index,world_seed,criterion,q_mad,n_observations
1,2157056043,C1,0.09733847158644279,6000
1,2157056043,C2,0.0981248843181729,6000
1,2157056043,C3,0.07190910803124777,6000
1,2157056043,C4,0.10669463736784451,6000
1,2157056043,C5,0.11692874734094717,6000
1,2157056043,C6,0.05382578513926315,6000
1,2157056043,C7,0.0676692837582894,6000
1,2157056043,C8,0.11396445776585597,6000
1,2157056043,C9,0.021711273315959158,6000
1,2157056043,C10,0.11076790087906985,6000
2,1774982644,C1,0.08744490272156283,6000
2,1774982644,C2,0.10252580824942557,6000
2,1774982644,C3,0.10223222925519633,6000
2,1774982644,C4,0.09179121981228124,6000
2,1774982644,C5,0.1215798370590171,6000
2,1774982644,C6,0.04639665453482716,6000
2,1774982644,C7,0.07541367866275094,6000
2,1774982644,C8,0.12055407125720823,6000
2,1774982644,C9,0.03597329238813695,6000
2,1774982644,C10,0.16457182179341578,6000
3,3568536501,C1,0.08877951472821856,6000
3,3568536501,C2,0.09737427290108125,6000
3,3568536501,C3,0.08891896467596869,6000
3,3568536501,C4,0.089535435643338,6000
3,3568536501,C5,0.11581914598932089,6000
3,3568536501,C6,0.05378381089031012,6000
3,3568536501,C7,0.06305108916453651,6000
3,3568536501,C8,0.12614004637552323,6000
3,3568536501,C9,0.03511725698277564,6000
3,3568536501,C10,0.1406006335732122,6000
4,2008330002,C1,0.09956006044626202,6000
4,2008330002,C2,0.08478121751101338,6000
4,2008330002,C3,0.09401078818985907,6000
4,2008330002,C4,0.11392961578494813,6000
4,2008330002,C5,0.11931732099690592,6000
4,2008330002,C6,0.04653827305402508,6000
4,2008330002,C7,0.08610175245752126,6000
4,2008330002,C8,0.11976768349409993,6000
4,2008330002,C9,0.030350010997470016,6000
4,2008330002,C10,0.08689754430258904,6000
5,3588553377,C1,0.07682085849345503,6000
5,3588553377,C2,0.08780315971879414,6000
5,3588553377,C3,0.08271759144688708,6000
5,3588553377,C4,0.07964194256469628,6000
5,3588553377,C5,0.11709913396215457,6000
5,3588553377,C6,0.05566488536235732,6000
5,3588553377,C7,0.06980752144179828,6000
5,3588553377,C8,0.12304597860884828,6000
5,3588553377,C9,0.025043827458549207,6000
5,3588553377,C10,0.128851863298647,6000
6,868531839,C1,0.08545930954058076,6000
6,868531839,C2,0.09098258380387392,6000
6,868531839,C3,0.08361958336992173,6000
6,868531839,C4,0.09297770406033044,6000
6,868531839,C5,0.12689886488317162,6000
6,868531839,C6,0.04501755903536245,6000
6,868531839,C7,0.09599191775661405,6000
6,868531839,C8,0.135648861524753,6000
6,868531839,C9,0.029766270978564838,6000
6,868531839,C10,0.16384445138206252,6000
7,1361698052,C1,0.07774838678154514,6000
7,1361698052,C2,0.09503999048070336,6000
7,1361698052,C3,0.09085050915739518,6000
7,1361698052,C4,0.1082570981958758,6000
7,1361698052,C5,0.1013072434793119,6000
7,1361698052,C6,0.05257021577595378,6000
7,1361698052,C7,0.07363293598314309,6000
7,1361698052,C8,0.11166304517639881,6000
7,1361698052,C9,0.02595158720154925,6000
7,1361698052,C10,0.1188539593918849,6000
8,2324699248,C1,0.0807652135308023,6000
8,2324699248,C2,0.10068425425004045,6000
8,2324699248,C3,0.106112833638738,6000
8,2324699248,C4,0.07504797639583237,6000
8,2324699248,C5,0.12300904948729179,6000
8,2324699248,C6,0.0507373354449776,6000
8,2324699248,C7,0.06873030751163413,6000
8,2324699248,C8,0.12937578081715476,6000
8,2324699248,C9,0.029759582934580153,6000
8,2324699248,C10,0.12144998687891245,6000
9,212610032,C1,0.08552111098006646,6000
9,212610032,C2,0.08102318402306755,6000
9,212610032,C3,0.10700858314803334,6000
9,212610032,C4,0.09597739283090652,6000
9,212610032,C5,0.10572607979801908,6000
9,212610032,C6,0.04890295357338615,6000
9,212610032,C7,0.0646389227067204,6000
9,212610032,C8,0.1347489049897594,6000
9,212610032,C9,0.032561744661457996,6000
9,212610032,C10,0.16208188232413442,6000
10,2213243439,C1,0.08356108376518419,6000
10,2213243439,C2,0.07701239587115769,6000
10,2213243439,C3,0.09550680574434267,6000
10,2213243439,C4,0.08834408711580224,6000
10,2213243439,C5,0.10190451623776899,6000
10,2213243439,C6,0.04504227497045406,6000
10,2213243439,C7,0.06180989421840741,6000
10,2213243439,C8,0.1219525556863361,6000
10,2213243439,C9,0.03702017602411676,6000
10,2213243439,C10,0.08762362450545928,6000
11,4047722832,C1,0.08559223985848348,6000
11,4047722832,C2,0.10534092442012594,6000
11,4047722832,C3,0.08704289579040086,6000
11,4047722832,C4,0.12116153959086429,6000
11,4047722832,C5,0.1085752110643637,6000
11,4047722832,C6,0.0466048517775675,6000
11,4047722832,C7,0.09386819356410912,6000
11,4047722832,C8,0.10595471160577666,6000
11,4047722832,C9,0.035119712036122845,6000
11,4047722832,C10,0.11590758619307481,6000
12,2270709223,C1,0.06529106305066429,6000
12,2270709223,C2,0.08989778931477443,6000
12,2270709223,C3,0.0811611946259625,6000
12,2270709223,C4,0.08357318965460023,6000
12,2270709223,C5,0.0997532264405788,6000
12,2270709223,C6,0.041430407631956614,6000
12,2270709223,C7,0.09555916575624751,6000
12,2270709223,C8,0.10789679376973367,6000
12,2270709223,C9,0.027248748559603395,6000
12,2270709223,C10,0.15214138449202577,6000
13,1579611222,C1,0.08645302323128005,6000
13,1579611222,C2,0.08606400464069039,6000
13,1579611222,C3,0.08228845842245903,6000
13,1579611222,C4,0.09558531598984221,6000
13,1579611222,C5,0.10492968848902652,6000
13,1579611222,C6,0.05792366998536718,6000
13,1579611222,C7,0.0749014863883758,6000
13,1579611222,C8,0.12441757030401063,6000
13,1579611222,C9,0.021961794686926814,6000
13,1579611222,C10,0.13916073922654587,6000
14,2004109830,C1,0.08710777263437905,6000
14,2004109830,C2,0.09483672101858111,6000
14,2004109830,C3,0.07704503035151725,6000
14,2004109830,C4,0.10405241485991872,6000
14,2004109830,C5,0.10804705863902686,6000
14,2004109830,C6,0.05456555764907785,6000
14,2004109830,C7,0.08168399765143046,6000
14,2004109830,C8,0.11810383462036543,6000
14,2004109830,C9,0.0293446268512434,6000
14,2004109830,C10,0.11738512234457228,6000
15,4071092393,C1,0.09137019410548688,6000
15,4071092393,C2,0.0804773623069257,6000
15,4071092393,C3,0.07516682033491234,6000
15,4071092393,C4,0.07661380833761132,6000
15,4071092393,C5,0.10668571112536188,6000
15,4071092393,C6,0.051082778514018004,6000
15,4071092393,C7,0.08366108172584855,6000
15,4071092393,C8,0.11684445602637814,6000
15,4071092393,C9,0.028317015540866672,6000
15,4071092393,C10,0.16396739293458706,6000
16,3777605120,C1,0.07955288503641746,6000
16,3777605120,C2,0.08823665394671432,6000
16,3777605120,C3,0.10976864748619501,6000
16,3777605120,C4,0.10349391768787067,6000
16,3777605120,C5,0.09714459436767313,6000
16,3777605120,C6,0.05970022307810385,6000
16,3777605120,C7,0.08091837026235899,6000
16,3777605120,C8,0.13963040461696455,6000
16,3777605120,C9,0.023298093151105276,6000
16,3777605120,C10,0.16598853347703998,6000
17,3016958164,C1,0.09101050411610122,6000
17,3016958164,C2,0.11021444960270632,6000
17,3016958164,C3,0.07347133568357803,6000
17,3016958164,C4,0.07817663979942889,6000
17,3016958164,C5,0.12271733762594347,6000
17,3016958164,C6,0.05729681077793079,6000
17,3016958164,C7,0.07638490528702745,6000
17,3016958164,C8,0.1289339402401824,6000
17,3016958164,C9,0.03475249835697912,6000
17,3016958164,C10,0.11614339827502305,6000
18,2937718454,C1,0.06875513182244669,6000
18,2937718454,C2,0.1002575328944602,6000
18,2937718454,C3,0.0847569021130638,6000
18,2937718454,C4,0.10004194977719372,6000
18,2937718454,C5,0.10228916534905151,6000
18,2937718454,C6,0.05094449165716447,6000
18,2937718454,C7,0.07313147209009405,6000
18,2937718454,C8,0.10373914548110341,6000
18,2937718454,C9,0.025270485564895414,6000
18,2937718454,C10,0.12982618037340712,6000
19,4076046721,C1,0.09878637616123737,6000
19,4076046721,C2,0.08681241947802065,6000
19,4076046721,C3,0.09826397877807445,6000
19,4076046721,C4,0.08420300020531679,6000
19,4076046721,C5,0.09692956462126051,6000
19,4076046721,C6,0.047575908345432426,6000
19,4076046721,C7,0.08208446343319722,6000
19,4076046721,C8,0.12715761604179676,6000
19,4076046721,C9,0.03318779114648235,6000
19,4076046721,C10,0.11370136912776677,6000
20,1575722357,C1,0.08218873136241439,6000
20,1575722357,C2,0.10476864265697494,6000
20,1575722357,C3,0.0909432791084964,6000
20,1575722357,C4,0.08904033342910272,6000
20,1575722357,C5,0.10945947225628917,6000
20,1575722357,C6,0.05029540327266731,6000
20,1575722357,C7,0.0834418111879211,6000
20,1575722357,C8,0.117794807096729,6000
20,1575722357,C9,0.030265821476268696,6000
20,1575722357,C10,0.12755483914013943,6000
21,2232116809,C1,0.08615151672065437,6000
21,2232116809,C2,0.10082123406053495,6000
21,2232116809,C3,0.08138409582482375,6000
21,2232116809,C4,0.07818133714747896,6000
21,2232116809,C5,0.12106666824176723,6000
