seed,rotation,criterion,alternative_a,alternative_b,contexts_used,lrv
21001,0,C1,A1,A2,1000,0.09166055821193565
21001,0,C1,A1,A3,1000,0.07731599897968065
21001,0,C1,A1,A4,1000,0.1595877776649561
21001,0,C1,A1,A5,1000,0.30856358832836467
21001,0,C1,A1,A6,1000,0.20725432532179153
21001,0,C1,A2,A3,1000,0.16885815972973114
21001,0,C1,A2,A4,1000,0.2508893475274896
21001,0,C1,A2,A5,1000,0.39913596501080156
21001,0,C1,A2,A6,1000,0.29836351992953647
21001,0,C1,A3,A4,1000,0.08236988397059812
21001,0,C1,A3,A5,1000,0.23177916599886486
21001,0,C1,A3,A6,1000,0.13013918044707212
21001,0,C1,A4,A5,1000,0.14968612992976477
21001,0,C1,A4,A6,1000,0.047818704533780544
21001,0,C1,A5,A6,1000,0.10193909445745593
21001,0,C2,A1,A2,1000,0.013610853867931458
21001,0,C2,A1,A3,1000,0.06140959722236258
21001,0,C2,A1,A4,1000,0.13337314127065727
21001,0,C2,A1,A5,1000,0.24528905648605084
21001,0,C2,A1,A6,1000,0.1506982544844605
21001,0,C2,A2,A3,1000,0.04780423115413816
21001,0,C2,A2,A4,1000,0.1197919408652871
21001,0,C2,A2,A5,1000,0.23178323838546613
21001,0,C2,A2,A6,1000,0.1371257071810682
21001,0,C2,A3,A4,1000,0.07204377335508474
21001,0,C2,A3,A5,1000,0.18425637947694326
21001,0,C2,A3,A6,1000,0.08940107050150918
21001,0,C2,A4,A5,1000,0.11241710206071702
21001,0,C2,A4,A6,1000,0.017372517066951542
21001,0,C2,A5,A6,1000,0.09507034019261613
21001,0,C3,A1,A2,1000,0.02330548511308113
21001,0,C3,A1,A3,1000,0.010147784733264947
21001,0,C3,A1,A4,1000,0.0994600354217292
21001,0,C3,A1,A6,1000,0.19969301048604896
21001,0,C3,A2,A3,1000,0.03345220966994354
21001,0,C3,A2,A4,1000,0.07617807894348737
21001,0,C3,A2,A6,1000,0.17649725389702428
21001,0,C3,A3,A4,1000,0.10959306849762177
21001,0,C3,A3,A6,1000,0.20978408964946924
21001,0,C3,A4,A6,1000,0.10050133365677773
21001,0,C4,A1,A2,1000,0.070317397980043
21001,0,C4,A1,A3,1000,0.14209259766487872
21001,0,C4,A1,A4,1000,0.1918832161543897
21001,0,C4,A1,A5,1000,0.21190304553334546
21001,0,C4,A1,A6,1000,0.224373577353628
21001,0,C4,A2,A3,1000,0.07187928316485138
21001,0,C4,A2,A4,1000,0.12180185424302155
21001,0,C4,A2,A5,1000,0.14188833512293425
21001,0,C4,A2,A6,1000,0.15440430850379758
21001,0,C4,A3,A4,1000,0.04998438065153121
21001,0,C4,A3,A5,1000,0.07010991264974044
21001,0,C4,A3,A6,1000,0.0826543310838721
21001,0,C4,A4,A5,1000,0.0201354613202
21001,0,C4,A4,A6,1000,0.032688959135607584
21001,0,C4,A5,A6,1000,0.012554664678127271
21001,0,C5,A1,A3,1000,0.15392419042916075
21001,0,C5,A1,A4,1000,0.18623717201898674
21001,0,C5,A1,A5,1000,0.5439414393371927
21001,0,C5,A1,A6,1000,0.26079663876343995
21001,0,C5,A3,A4,1000,0.0324068104596573
21001,0,C5,A3,A5,1000,0.3933811201803987
21001,0,C5,A3,A6,1000,0.1073070142594601
21001,0,C5,A4,A5,1000,0.36145923470060887
21001,0,C5,A4,A6,1000,0.07492672693340065
21001,0,C5,A5,A6,1000,0.28737000688620734
21001,0,C6,A1,A2,1000,0.06182276603308063
21001,0,C6,A1,A3,1000,0.15144307883165326
21001,0,C6,A1,A4,1000,0.21806898705396657
21001,0,C6,A1,A5,1000,0.27491952129355646
21001,0,C6,A1,A6,1000,0.33058226809992736
21001,0,C6,A2,A3,1000,0.08974008625703947
21001,0,C6,A2,A4,1000,0.15654102809009182
21001,0,C6,A2,A5,1000,0.213596624917516
21001,0,C6,A2,A6,1000,0.269509192514459
21001,0,C6,A3,A4,1000,0.06692778645035734
21001,0,C6,A3,A5,1000,0.12417514914937788
21001,0,C6,A3,A6,1000,0.18034997250414855
21001,0,C6,A4,A5,1000,0.05731048681907176
21001,0,C6,A4,A6,1000,0.11360416561919692
21001,0,C6,A5,A6,1000,0.056342880145862966
21001,0,C7,A1,A2,1000,0.15706965708837187
21001,0,C7,A1,A3,1000,0.16000640044984227
21001,0,C7,A1,A4,1000,0.23362123383154926
21001,0,C7,A1,A5,1000,0.30051745388619855
21001,0,C7,A1,A6,1000,0.3717756456505882
21001,0,C7,A2,A3,1000,0.0029471477360683853
21001,0,C7,A2,A4,1000,0.07694222344047046
21001,0,C7,A2,A5,1000,0.14438144793141378
21001,0,C7,A2,A6,1000,0.2164260220871407
21001,0,C7,A3,A4,1000,0.0739973520783151
21001,0,C7,A3,A5,1000,0.14144245056288704
21001,0,C7,A3,A6,1000,0.21349735323538738
21001,0,C7,A4,A5,1000,0.0675409994053606
21001,0,C7,A4,A6,1000,0.13980147074324398
21001,0,C7,A5,A6,1000,0.0723558336956856
21001,1,C1,A1,A2,1000,0.0018964350781410547
21001,1,C1,A1,A3,1000,0.10824814635975598
21001,1,C1,A1,A4,1000,0.2007994122278319
21001,1,C1,A1,A5,1000,0.4066219030473073
21001,1,C1,A1,A6,1000,0.021937230143554434
21001,1,C1,A2,A3,1000,0.1063538177532279
21001,1,C1,A2,A4,1000,0.1989102637801202
21001,1,C1,A2,A5,1000,0.40475564099932754
21001,1,C1,A2,A6,1000,0.02383356865941619
21001,1,C1,A3,A4,1000,0.0927455476655473
21001,1,C1,A3,A5,1000,0.2996632187452697
21001,1,C1,A3,A6,1000,0.13015552377254128
21001,1,C1,A4,A5,1000,0.2075007211735599
21001,1,C1,A4,A6,1000,0.22264228199582345
21001,1,C1,A5,A6,1000,0.42819060963016314
21001,1,C2,A1,A2,1000,0.02666416771521714
21001,1,C2,A1,A3,1000,0.07176460258813112
21001,1,C2,A1,A4,1000,0.2028627983317834
21001,1,C2,A1,A5,1000,0.33230281860113425
21001,1,C2,A1,A6,1000,0.017526136334008374
21001,1,C2,A2,A3,1000,0.04511217003325517
21001,1,C2,A2,A4,1000,0.17632826144778155
21001,1,C2,A2,A5,1000,0.3060110220116756
21001,1,C2,A2,A6,1000,0.04418747896851907
21001,1,C2,A3,A4,1000,0.13135874793179986
21001,1,C2,A3,A5,1000,0.2613996124223514
21001,1,C2,A3,A6,1000,0.0892754361197973
21001,1,C2,A4,A5,1000,0.1306885249636129
21001,1,C2,A4,A6,1000,0.22028261519015566
21001,1,C2,A5,A6,1000,0.349550714975219
21001,1,C3,A1,A2,1000,0.024595498721464475
21001,1,C3,A1,A3,1000,0.11149198380718933
21001,1,C3,A1,A4,1000,0.14743862160407123
21001,1,C3,A1,A6,1000,0.0982102280046529
21001,1,C3,A2,A3,1000,0.08692830249094392
21001,1,C3,A2,A4,1000,0.12290275058993107
21001,1,C3,A2,A6,1000,0.12276593842404149
21001,1,C3,A3,A4,1000,0.03602659868502164
21001,1,C3,A3,A6,1000,0.2093963436338324
21001,1,C3,A4,A6,1000,0.2451756056908187
21001,1,C4,A1,A2,1000,0.06364083730686391
21001,1,C4,A1,A3,1000,0.10403484079592472
21001,1,C4,A1,A4,1000,0.2051952998176396
21001,1,C4,A1,A5,1000,0.18804749576542035
21001,1,C4,A1,A6,1000,0.021586920582159268
21001,1,C4,A2,A3,1000,0.040431969475110234
21001,1,C4,A2,A4,1000,0.141815242479772
21001,1,C4,A2,A5,1000,0.12461682653789895
21001,1,C4,A2,A6,1000,0.04206219915016353
21001,1,C4,A3,A4,1000,0.10146515874956011
21001,1,C4,A3,A5,1000,0.08424458054562005
21001,1,C4,A3,A6,1000,0.08247431633897122
21001,1,C4,A4,A5,1000,0.017241488196690195
21001,1,C4,A4,A6,1000,0.18372321916500894
21001,1,C4,A5,A6,1000,0.16655610193363243
21001,1,C5,A1,A3,1000,0.11699362100818639
21001,1,C5,A1,A4,1000,0.1491889194804408
21001,1,C5,A1,A5,1000,1.030299084955898
21001,1,C5,A1,A6,1000,0.009676766115126611
21001,1,C5,A3,A4,1000,0.03225219684845352
21001,1,C5,A3,A5,1000,0.9269017170102232
21001,1,C5,A3,A6,1000,0.10732913390398331
21001,1,C5,A4,A5,1000,0.8981471461606411
21001,1,C5,A4,A6,1000,0.13953249315029395
21001,1,C5,A5,A6,1000,1.0218094784845793
21001,1,C6,A1,A2,1000,0.07015963471978293
21001,1,C6,A1,A3,1000,0.15403906254046457
21001,1,C6,A1,A4,1000,0.1911338098407189
21001,1,C6,A1,A5,1000,0.25281729783410667
21001,1,C6,A1,A6,1000,0.02630566522789418
21001,1,C6,A2,A3,1000,0.08400133029538624
21001,1,C6,A2,A4,1000,0.12119141813020273
21001,1,C6,A2,A5,1000,0.1830895801210281
21001,1,C6,A2,A6,1000,0.09644047355802597
21001,1,C6,A3,A4,1000,0.037240333556269066
21001,1,C6,A3,A5,1000,0.09929103832260806
21001,1,C6,A3,A6,1000,0.18024491562750738
21001,1,C6,A4,A5,1000,0.06208153799780274
21001,1,C6,A4,A6,1000,0.21729124435860228
21001,1,C6,A5,A6,1000,0.27887371913800557
21001,1,C7,A1,A2,1000,0.10630177580252781
21001,1,C7,A1,A3,1000,0.17860480613676497
21001,1,C7,A1,A4,1000,0.18631969760424671
21001,1,C7,A1,A5,1000,0.2728125222120901
21001,1,C7,A1,A6,1000,0.03438995956832762
21001,1,C7,A2,A3,1000,0.07248980815027505
21001,1,C7,A2,A4,1000,0.08023350008886831
21001,1,C7,A2,A5,1000,0.16716774324093292
21001,1,C7,A2,A6,1000,0.14061988756367494
21001,1,C7,A3,A4,1000,0.007749823337005835
