seed,rotation,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
21001,0,A6,925,0.925,75,0.002812071597934757,0.0,0.021093323475571284,0.03749428797246342,0.036109450597730644,0.08719136561398746
21001,1,A6,990,0.99,10,0.00031016828636613175,0.0,0.0,0.031016828636613175,0.02624575610000911,0.07338534129161187
21001,2,A6,990,0.99,10,0.00025592414607869275,0.0,0.0,0.025592414607869273,0.02319865594023013,0.04819677757463096
21001,3,A6,933,0.933,67,0.0025857652286260134,0.0,0.017073281925612974,0.03859351087501513,0.03581207567849291,0.08991921989369828
21001,4,A6,933,0.933,67,0.0026052175769578556,0.0,0.017422649844367307,0.0388838444322068,0.036318397034764985,0.09040887417462667
21001,5,A6,925,0.925,75,0.002761714577070542,0.0,0.020651976068185782,0.03682286102760723,0.03583035340341359,0.08678696111630729
21002,0,A6,369,0.369,631,0.12099496209622959,0.09609305527862383,0.324452363691318,0.19175112852017367,0.1931478637373602,0.3477726754467756
21002,1,A4,331,0.331,669,0.0844344347158201,0.05719100991034033,0.2617194729467306,0.1262099173629598,0.11429992210864365,0.28645763802623053
21002,2,A4,331,0.331,669,0.08436078257873902,0.05372624073346145,0.26044410872554136,0.12609982448242005,0.1158676585147779,0.2972408126670247
21002,3,A1,292,0.292,708,0.08744861210372655,0.06497169133980973,0.2838078994571853,0.12351498884707138,0.10160201741864597,0.31376844756988137
21002,4,A1,381,0.381,619,0.07649579968286013,0.038284156121433224,0.27190946816151124,0.12357964407570302,0.10156736971451046,0.32704452078659757
21002,5,A1,506,0.506,494,0.07816535393217029,0.0,0.32681411561954127,0.15822946140115443,0.1298368779060851,0.39699899701323926
21003,0,A2,648,0.648,352,0.11423127025442105,0.0,0.5851415130248455,0.32452065413187803,0.3181927170501031,0.6792416544315953
21003,1,A2,756,0.756,244,0.03576825476355854,0.0,0.23376984579332843,0.14659120804737108,0.11070014874882178,0.38255993215510964
21003,2,A2,731,0.731,269,0.025630817133709526,0.0,0.16382578653487198,0.09528184808070456,0.07440132651996106,0.2591222603242944
21003,3,A2,813,0.813,187,0.02037909214534677,0.0,0.16718178157617405,0.10897910238153355,0.07320530854716413,0.29410415960104724
21003,4,A2,796,0.796,204,0.02291085862031474,0.0,0.17267718775033805,0.11230813049173893,0.07630941291428242,0.31717451858795187
21003,5,A2,596,0.596,404,0.12204990533047394,0.0,0.586293428984163,0.3021037260655295,0.268665774409303,0.6841712313652035
21004,0,A2,660,0.66,340,0.044261944890427715,0.0,0.23625621888291148,0.13018219085419913,0.11136380923815746,0.31377555034492843
21004,1,A2,705,0.705,295,0.031223648578161487,0.0,0.18800935600105498,0.10584287653614062,0.08643897035945167,0.26407328294945176
21004,2,A2,693,0.693,307,0.030316440810232943,0.0,0.17075683007236178,0.09875062153170339,0.07435806592800905,0.271006203166981
21004,3,A2,573,0.573,427,0.04381013696280254,0.0,0.19330980118341679,0.10259985237190289,0.08376852607933893,0.2717415078578457
21004,4,A2,729,0.729,271,0.036717695429147275,0.0,0.23308138358976838,0.13548965103006375,0.10785341965166445,0.3499283515018529
21004,5,A2,544,0.544,456,0.06904357845321338,0.0,0.3162883158454276,0.15141135625704685,0.12410532579449912,0.3645232730893546
21005,0,A2,714,0.714,286,0.05392389287296572,0.0,0.3604274223944431,0.18854507997540462,0.15153417723765392,0.4977027795580409
21005,1,A2,875,0.875,125,0.010528147287513083,0.0,0.08897220186346595,0.08422517830010466,0.07164776138178648,0.2275946344208786
21005,2,A2,861,0.861,139,0.011044395429092982,0.0,0.08630163499380346,0.07945608222369052,0.058820308400357214,0.22874078307261525
21005,3,A2,797,0.797,203,0.015700582725663763,0.0,0.10708764187431151,0.07734277204760476,0.06185558191387532,0.20479914774434863
21005,4,A2,825,0.825,175,0.017232354339795187,0.0,0.12134913155702436,0.09847059622740106,0.0769061477571257,0.2459604502456477
21005,5,A2,681,0.681,319,0.060028170509987905,0.0,0.36150594576761386,0.18817608310341039,0.14815676990161464,0.48969125087571286
