seed,rotation,factor,criterion,active_alternatives,re,sre,base_iqr
21001,0,h_D,C1,6,0.04669943232392596,0.5530740677853428,0.08443612717256832
21001,0,h_D,C2,6,0.0358866397051603,0.3552648650466189,0.1010137596919298
21001,0,h_D,C3,5,0.03388897110577138,0.26596943441594034,0.12741678824833544
21001,0,h_D,C4,6,0.03255146507962796,0.33618079687257124,0.0968272589693169
21001,0,h_D,C6,6,0.02606072107151617,0.5175009674350066,0.050358787153903545
21001,0,h_D,C7,6,0.019001447871590353,0.24918116442972285,0.07625555452727725
21001,0,h_E,C6,6,0.016543410403645445,0.3285108982620638,0.050358787153903545
21001,0,h_I,C2,6,0.022658921391672356,0.22431519686578213,0.1010137596919298
21001,0,h_I,C4,6,0.031032722270755424,0.32049572197710074,0.0968272589693169
21001,0,h_I,C5,5,0.06092329833477454,0.3849960315625962,0.158243964456252
21001,0,h_T,C3,5,0.022541124866094105,0.1769085940385228,0.12741678824833544
21001,0,h_T,C7,6,0.02859922766297601,0.375044517607839,0.07625555452727725
21001,1,h_D,C1,6,0.05209341698336434,0.5412392677033478,0.09624840637279
21001,1,h_D,C2,6,0.03889833503732851,0.3675906002884488,0.10581972174053782
21001,1,h_D,C3,5,0.03327810965877038,0.303786155600663,0.10954452349109606
21001,1,h_D,C4,6,0.03464591721412158,0.34669743993705393,0.09993127500469909
21001,1,h_D,C6,6,0.0274824289609474,0.5041301618952967,0.05451455008587867
21001,1,h_D,C7,6,0.01854380717783481,0.29837284327335045,0.06214978204483497
21001,1,h_E,C6,6,0.017511527984362132,0.32122668088527534,0.05451455008587867
21001,1,h_I,C2,6,0.024408040568406703,0.23065682055016895,0.10581972174053782
21001,1,h_I,C4,6,0.03336262708465136,0.3338557131663604,0.09993127500469909
21001,1,h_I,C5,5,0.06508052093094227,0.4322294605297793,0.15056937778082388
21001,1,h_T,C3,5,0.021589139045771262,0.19708095263501674,0.10954452349109606
21001,1,h_T,C7,6,0.02854937816314822,0.45936409144754975,0.06214978204483497
21001,2,h_D,C1,6,0.04645609342397967,0.48393570794384805,0.09599641576538948
21001,2,h_D,C2,6,0.03610287887461969,0.3261251537666926,0.1107025277176911
21001,2,h_D,C3,5,0.03820267938768025,0.33995978775036356,0.11237411236235083
21001,2,h_D,C4,6,0.03568229165767965,0.3662726821899926,0.09742001899777034
21001,2,h_D,C6,6,0.028624570456556364,0.4807658249197217,0.05953952833659783
21001,2,h_D,C7,6,0.019061186571439317,0.31731729867478176,0.060069799694903475
21001,2,h_E,C6,6,0.018347968786902882,0.30816449675024665,0.05953952833659783
21001,2,h_I,C2,6,0.022193356182009127,0.20047741130541488,0.1107025277176911
21001,2,h_I,C4,6,0.034294774065039904,0.35203004903409824,0.09742001899777034
21001,2,h_I,C5,5,0.06248979566249079,0.3654772699180134,0.17098134632597944
21001,2,h_T,C3,5,0.024782083933123835,0.22053196605454253,0.11237411236235083
21001,2,h_T,C7,6,0.02917249594733326,0.48564330320753024,0.060069799694903475
21001,3,h_D,C1,6,0.04595464631416031,0.570991007634906,0.08048225926348197
21001,3,h_D,C2,6,0.031239829844979035,0.2766851757370491,0.11290749409137654
21001,3,h_D,C3,5,0.03453724121552547,0.3214116279366913,0.10745485916896225
21001,3,h_D,C4,6,0.033520750139933844,0.33146888790677836,0.10112789273010045
21001,3,h_D,C6,6,0.029739124958933504,0.46734129845533195,0.06363470349562654
21001,3,h_D,C7,6,0.02093999825300665,0.3074883999770448,0.06810012427871234
21001,3,h_E,C6,6,0.018918598173980623,0.29730001295572234,0.06363470349562654
21001,3,h_I,C2,6,0.019794329098137116,0.1753145728479472,0.11290749409137654
21001,3,h_I,C4,6,0.03185953445773004,0.31504200866169235,0.10112789273010045
21001,3,h_I,C5,5,0.06183239647305791,0.3649707851086842,0.1694173862553956
21001,3,h_T,C3,5,0.02262695462256388,0.21057172097517374,0.10745485916896225
21001,3,h_T,C7,6,0.03091931940836559,0.4540273565635289,0.06810012427871234
21001,4,h_D,C1,6,0.04633814758060691,0.6869342663977743,0.06745645085215116
21001,4,h_D,C2,6,0.031680264850545904,0.3043880793912797,0.10407853327763764
21001,4,h_D,C3,5,0.03066558035751797,0.24567371219043355,0.12482239179705937
21001,4,h_D,C4,6,0.03524068730845062,0.32577200582277593,0.10817592266444226
21001,4,h_D,C6,6,0.028647424706177798,0.46107762642088274,0.06213145696982196
21001,4,h_D,C7,6,0.019885929895957256,0.27136940939104043,0.07327992473547551
21001,4,h_E,C6,6,0.018279462347103176,0.29420624009650276,0.06213145696982196
21001,4,h_I,C2,6,0.019968710645896497,0.19186195286242683,0.10407853327763764
21001,4,h_I,C4,6,0.03291495361477911,0.3042724554943323,0.10817592266444226
21001,4,h_I,C5,5,0.06072584408627567,0.3720464811671596,0.16322112198292676
21001,4,h_T,C3,5,0.02068591698100538,0.16572280568434827,0.12482239179705937
21001,4,h_T,C7,6,0.02931504624011264,0.40004198074074854,0.07327992473547551
21001,5,h_D,C1,6,0.04165154795811317,0.5650878400329087,0.0737080945771589
21001,5,h_D,C2,6,0.03315462754003411,0.34274834720354336,0.09673169195474562
21001,5,h_D,C3,5,0.032339497356742256,0.25641792566616234,0.12612026742073223
21001,5,h_D,C4,6,0.03368837460566073,0.32302513966615437,0.10429025629446226
21001,5,h_D,C6,6,0.026790136631760605,0.4638123853115814,0.05776071851401645
21001,5,h_D,C7,6,0.020550301262473522,0.26110472437265003,0.07870520654725081
21001,5,h_E,C6,6,0.017120714632545414,0.29640757720308525,0.05776071851401645
21001,5,h_I,C2,6,0.02086204491009412,0.2156691823362133,0.09673169195474562
21001,5,h_I,C4,6,0.0319095867547111,0.3059690127168621,0.10429025629446226
21001,5,h_I,C5,5,0.0650531682611653,0.3905484683235448,0.16656874507796637
21001,5,h_T,C3,5,0.021551379927573652,0.17087959269471115,0.12612026742073223
21001,5,h_T,C7,6,0.030575463667371544,0.38848082621607793,0.07870520654725081
21002,0,h_D,C1,6,0.05359109861022345,0.6452988326620723,0.08304849768361898
21002,0,h_D,C2,6,0.04285091529019293,0.45726272095848597,0.09371180576434093
21002,0,h_D,C3,5,0.022382974375386458,0.27747640668470497,0.08066622543711488
21002,0,h_D,C4,6,0.01752108752910524,0.14118059627650265,0.12410407655913956
21002,0,h_D,C6,6,0.01839682125491956,0.4304992224969762,0.042733692172041676
21002,0,h_D,C7,6,0.02306386155171542,0.3103294339463415,0.07432057365010701
21002,0,h_E,C6,6,0.012492179587555486,0.29232624077907576,0.042733692172041676
21002,0,h_I,C2,6,0.029155004829980083,0.31111346742144397,0.09371180576434093
21002,0,h_I,C4,6,0.0177130514483176,0.14272739412982968,0.12410407655913956
21002,0,h_I,C5,5,0.06648597520014726,0.44446518744619257,0.1495864627367507
21002,0,h_T,C3,5,0.015055196816093706,0.18663569212921308,0.08066622543711488
21002,0,h_T,C7,6,0.035478399962055956,0.4773698347459876,0.07432057365010701
21002,1,h_D,C1,6,0.0564483742453261,0.6272943212982406,0.08998706401147383
21002,1,h_D,C2,6,0.042583548065896704,0.4777951121618685,0.0891251228434341
21002,1,h_D,C3,5,0.019878725748585003,0.24350875819032122,0.0816345411806696
21002,1,h_D,C4,6,0.01774088427943494,0.15268991721142497,0.11618897045256105
21002,1,h_D,C6,6,0.020316274594364463,0.4250336551376009,0.04779921389369088
21002,1,h_D,C7,6,0.021624383405612034,0.26856372358098823,0.08051863117254705
21002,1,h_E,C6,6,0.01367939017313064,0.28618441724310506,0.04779921389369088
21002,1,h_I,C2,6,0.028854434313139984,0.3237519724208936,0.0891251228434341
21002,1,h_I,C4,6,0.018154817574764906,0.1562525040362683,0.11618897045256105
21002,1,h_I,C5,5,0.06936896003730403,0.48292457678909284,0.14364346602123035
21002,1,h_T,C3,5,0.013873792119553367,0.1699500226096526,0.0816345411806696
21002,1,h_T,C7,6,0.03275340307347084,0.40678042579828877,0.08051863117254705
21002,2,h_D,C1,6,0.05488290448137025,0.628718561300515,0.08729327851752192
21002,2,h_D,C2,6,0.039226923004347755,0.41694679336581564,0.09408136392480748
21002,2,h_D,C3,5,0.023292285172790427,0.27517850554341344,0.08464427527331181
21002,2,h_D,C4,6,0.020923310706836375,0.17377660555982805,0.1204034952763483
21002,2,h_D,C6,6,0.021007345084263704,0.4445164982631164,0.047258864779827825
21002,2,h_D,C7,6,0.01995757842787009,0.2599076601290988,0.07678718825638708
21002,2,h_E,C6,6,0.014244374850234996,0.30141170162034264,0.047258864779827825
21002,2,h_I,C2,6,0.027089465588561353,0.28793657381417315,0.09408136392480748
21002,2,h_I,C4,6,0.02105444713019688,0.17486574689296322,0.1204034952763483
21002,2,h_I,C5,5,0.060071273423753506,0.413455700126257,0.14529071289861545
21002,2,h_T,C3,5,0.016136511142135757,0.19063913170549562,0.08464427527331181
21002,2,h_T,C7,6,0.030894653793049422,0.4023412563238021,0.07678718825638708
21002,3,h_D,C1,6,0.05290906850678438,0.6708115827071472,0.07887321845665239
21002,3,h_D,C2,6,0.037325512550723944,0.42985637282202116,0.08683252107035397
21002,3,h_D,C3,5,0.02008398111062247,0.26945375374829705,0.0745359113798575
21002,3,h_D,C4,6,0.020170589152806045,0.16948408648941465,0.11901169938982054
21002,3,h_D,C6,6,0.020138446954228985,0.4327245079178442,0.0465387251826737
21002,3,h_D,C7,6,0.021521625697700348,0.26587122013258807,0.08094755681604723
21002,3,h_E,C6,6,0.01405532015012786,0.30201343278433035,0.0465387251826737
21002,3,h_I,C2,6,0.02546448355252412,0.29325975151175065,0.08683252107035397
