seed,criterion,active_alternatives,NS_historical,LRV_historical_max,NSV_vector_historical,below_T_num_NS,below_T_num_LRV,below_T_num_NSV
21001,C1,6,0.0,3.085940738286285e-16,1.8035576242002578e-09,True,True,True
21001,C2,6,0.0,4.476828941703194e-16,1.7393470323397037e-11,True,True,True
21001,C3,5,0.0,6.671692182429852e-16,1.759403091494218e-11,True,True,True
21001,C4,6,0.0,4.3124698074984075e-16,1.4948587571336547e-11,True,True,True
21001,C5,5,0.0,6.326128341884431e-16,3.85381395343247e-11,True,True,True
21001,C6,6,0.0,1.747234979459573e-16,1.2106523789353133e-11,True,True,True
21001,C7,6,0.0,2.5445672320916056e-16,2.331080685833005e-11,True,True,True
21002,C1,6,0.0,3.1490043025789916e-16,8.518583876979998e-11,True,True,True
21002,C2,6,0.0,2.602993587919464e-16,1.992198801154663e-11,True,True,True
21002,C3,5,0.0,4.529927626029093e-16,9.70382514038824e-12,True,True,True
21002,C4,6,0.0,6.089044468994093e-16,1.9782739163021504e-11,True,True,True
21002,C5,5,0.0,2.8413902102441497e-16,1.0599659710451319e-10,True,True,True
21002,C6,6,0.0,2.595168583796511e-16,4.4536212416928e-11,True,True,True
21002,C7,6,0.0,2.3886571574932744e-16,7.603180767159052e-12,True,True,True
21003,C1,6,0.0,4.496060575246782e-16,2.6217892136568617e-11,True,True,True
21003,C2,6,0.0,3.423557713600585e-16,1.334583020866545e-11,True,True,True
21003,C3,5,0.0,2.9424052125430657e-16,9.745050220325265e-12,True,True,True
21003,C4,6,0.0,5.310534564584923e-16,1.3648571397376179e-11,True,True,True
21003,C5,5,0.0,4.75611043366452e-16,2.4560602523998926e-10,True,True,True
21003,C6,6,0.0,3.4338033348934405e-16,1.8838765736691497e-11,True,True,True
21003,C7,6,0.0,3.38208266098046e-16,9.156302889404377e-12,True,True,True
21004,C1,6,0.0,2.6159832478042126e-16,2.2467160819728827e-10,True,True,True
21004,C2,6,0.0,1.9847856673826088e-16,1.4698152062609056e-11,True,True,True
21004,C3,5,0.0,3.109020951889229e-16,6.192426985332237e-11,True,True,True
21004,C4,6,0.0,5.266367229347058e-16,1.399410768426136e-11,True,True,True
21004,C5,5,0.0,7.222425309945365e-16,7.731657477674791e-11,True,True,True
21004,C6,6,0.0,1.4135192823251806e-16,1.3856835868898323e-10,True,True,True
21004,C7,6,0.0,3.7095407283717784e-16,4.6289846710934405e-11,True,True,True
21005,C1,6,0.0,3.075137411781281e-16,1.1223352073015843e-10,True,True,True
21005,C2,6,0.0,4.3872777536181464e-16,6.438277402879772e-12,True,True,True
21005,C3,5,0.0,4.1248931682512333e-16,1.465698633772034e-11,True,True,True
21005,C4,6,0.0,2.6673093725629205e-16,9.262580300729435e-12,True,True,True
21005,C5,5,0.0,3.132324617386636e-16,5.550650192908238e-11,True,True,True
21005,C6,6,0.0,1.8367397651774825e-16,8.396934918606375e-11,True,True,True
21005,C7,6,0.0,4.036084450654358e-16,1.812090504514195e-11,True,True,True
