seed,kappa,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
21001,0.0,A6,962,0.962,38,0.0011106357489747713,0.0,0.0,0.029227256551967666,0.024378956429113238,0.06930059435701717
21001,0.1,A6,954,0.954,46,0.0014374770188920003,0.0,0.0,0.031249500410695658,0.028269908987932732,0.07327342630584177
21001,0.2,A6,943,0.943,57,0.001946602106195476,0.0,0.00809089050809594,0.034150914143780284,0.0334153491308624,0.07715026221241403
21001,0.3,A6,925,0.925,75,0.0027134849249161523,0.0,0.019311055520340327,0.03617979899888203,0.03174542670523392,0.08566605817615179
21001,0.4,A6,908,0.908,92,0.0038278176861160115,0.0,0.03292429988343474,0.04160671397952186,0.03414348482984528,0.08859669846612032
21001,0.5,A6,899,0.899,101,0.005222309889476837,0.0,0.05078552874236754,0.05170603850967166,0.050701028427818366,0.10434757899759338
21001,0.6,A6,892,0.892,108,0.006744495336535414,0.0,0.06633617780574284,0.06244903089384641,0.06268274334292707,0.12098520717150099
21001,0.7,A6,877,0.877,123,0.008420635725501321,0.0,0.08125580867627569,0.0684604530528563,0.06695779547859407,0.13758913551506574
21001,0.8,A6,854,0.854,146,0.010462496462220666,0.0,0.09607332968056051,0.0716609346727443,0.06941750276296801,0.15329214920535056
21001,0.9,A6,836,0.836,164,0.012886324053371964,0.0,0.10834824703866765,0.0785751466669022,0.07223961757650314,0.16893786183682816
21001,1.0,A6,810,0.81,190,0.015823645331172236,0.0,0.12465760116678248,0.08328234384827492,0.0740240462577998,0.18864600553129554
21002,0.0,A1,467,0.467,533,0.06437548998930606,0.008484711880175431,0.27279264844864687,0.12077953093678433,0.09157011760711638,0.3294060629160771
21002,0.1,A1,489,0.489,511,0.05997205262798279,0.00523748333094625,0.2643926464045633,0.1173621382152305,0.09188035869694561,0.32143512784485273
21002,0.2,A1,508,0.508,492,0.05662758262513823,0.0,0.25476860837991067,0.11509671265271998,0.08936523230931948,0.3157484950260978
21002,0.3,A1,518,0.518,482,0.054459213873283514,0.0,0.2385734782783649,0.11298592089892845,0.08389043366888724,0.31265037089480785
