kappa,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
0.0,h_D->C1,h_D,C1,0.5791198064373052,0.5562447848993066,True
0.0,h_D->C2,h_D,C2,0.3292532227358192,0.334436750485118,False
0.0,h_D->C3,h_D,C3,0.293005639848985,0.2848777950083017,True
0.0,h_D->C4,h_D,C4,0.31367838327096814,0.29284425142171366,True
0.0,h_D->C6,h_D,C6,0.4560293173615829,0.43161186520741024,True
0.0,h_D->C7,h_D,C7,0.2892494141645973,0.2525758990201667,True
0.0,h_E->C6,h_E,C6,0.30962454925786914,0.29686897119970923,True
0.0,h_I->C2,h_I,C2,0.21065091824668283,0.212043213358731,False
0.0,h_I->C4,h_I,C4,0.31364489140017837,0.29490518692082546,True
0.0,h_I->C5,h_I,C5,0.46786037378923134,0.4552711586651893,True
0.0,h_T->C3,h_T,C3,0.19417570887781851,0.18699477333676978,True
0.0,h_T->C7,h_T,C7,0.43016856830572675,0.37338001554965855,True
0.1,h_D->C1,h_D,C1,0.5608455145038946,0.5562447848993066,True
0.1,h_D->C2,h_D,C2,0.3239727673814626,0.334436750485118,False
0.1,h_D->C3,h_D,C3,0.2880526299342071,0.2848777950083017,True
0.1,h_D->C4,h_D,C4,0.3113224482233649,0.29284425142171366,True
0.1,h_D->C6,h_D,C6,0.45983531843567876,0.43161186520741024,True
0.1,h_D->C7,h_D,C7,0.2828324078502925,0.2525758990201667,True
0.1,h_E->C6,h_E,C6,0.3108850803053053,0.29686897119970923,True
0.1,h_I->C2,h_I,C2,0.21166632513306918,0.212043213358731,False
0.1,h_I->C4,h_I,C4,0.3104279833938357,0.29490518692082546,True
0.1,h_I->C5,h_I,C5,0.4779871456440739,0.4552711586651893,True
0.1,h_T->C3,h_T,C3,0.1901493846663277,0.18699477333676978,True
0.1,h_T->C7,h_T,C7,0.43022863324708616,0.37338001554965855,True
0.2,h_D->C1,h_D,C1,0.5394727653203967,0.5562447848993066,False
0.2,h_D->C2,h_D,C2,0.320080115531639,0.334436750485118,False
0.2,h_D->C3,h_D,C3,0.28139743444605864,0.2848777950083017,False
0.2,h_D->C4,h_D,C4,0.3101430779758699,0.29284425142171366,True
0.2,h_D->C6,h_D,C6,0.4586105728072557,0.43161186520741024,True
0.2,h_D->C7,h_D,C7,0.2762408129437096,0.2525758990201667,True
0.2,h_E->C6,h_E,C6,0.30444738998508736,0.29686897119970923,True
0.2,h_I->C2,h_I,C2,0.2101838004276845,0.212043213358731,False
0.2,h_I->C4,h_I,C4,0.30875916003519116,0.29490518692082546,True
0.2,h_I->C5,h_I,C5,0.48416135959497086,0.4552711586651893,True
0.2,h_T->C3,h_T,C3,0.1867379747619534,0.18699477333676978,False
0.2,h_T->C7,h_T,C7,0.4264583310430785,0.37338001554965855,True
0.3,h_D->C1,h_D,C1,0.5248710688793811,0.5562447848993066,False
0.3,h_D->C2,h_D,C2,0.3162039197523908,0.334436750485118,False
0.3,h_D->C3,h_D,C3,0.27019544196013295,0.2848777950083017,False
0.3,h_D->C4,h_D,C4,0.30788711407699165,0.29284425142171366,True
0.3,h_D->C6,h_D,C6,0.45606807949704575,0.43161186520741024,True
0.3,h_D->C7,h_D,C7,0.26985259042828597,0.2525758990201667,True
0.3,h_E->C6,h_E,C6,0.2989572977237414,0.29686897119970923,True
0.3,h_I->C2,h_I,C2,0.20723303453342268,0.212043213358731,False
0.3,h_I->C4,h_I,C4,0.30714635984179806,0.29490518692082546,True
0.3,h_I->C5,h_I,C5,0.48116289964483927,0.4552711586651893,True
0.3,h_T->C3,h_T,C3,0.18154254407747106,0.18699477333676978,False
0.3,h_T->C7,h_T,C7,0.41600919124062213,0.37338001554965855,True
0.4,h_D->C1,h_D,C1,0.514032755936304,0.5562447848993066,False
0.4,h_D->C2,h_D,C2,0.31092197342687683,0.334436750485118,False
0.4,h_D->C3,h_D,C3,0.26323803238033816,0.2848777950083017,False
0.4,h_D->C4,h_D,C4,0.3003443420381043,0.29284425142171366,True
0.4,h_D->C6,h_D,C6,0.4430909869189502,0.43161186520741024,True
0.4,h_D->C7,h_D,C7,0.2623591538152674,0.2525758990201667,True
0.4,h_E->C6,h_E,C6,0.299647552970922,0.29686897119970923,True
0.4,h_I->C2,h_I,C2,0.20387758293847386,0.212043213358731,False
0.4,h_I->C4,h_I,C4,0.30646692912306733,0.29490518692082546,True
0.4,h_I->C5,h_I,C5,0.48218616261477754,0.4552711586651893,True
0.4,h_T->C3,h_T,C3,0.17573298916638794,0.18699477333676978,False
0.4,h_T->C7,h_T,C7,0.4040755416670139,0.37338001554965855,True
0.5,h_D->C1,h_D,C1,0.4980756526726992,0.5562447848993066,False
0.5,h_D->C2,h_D,C2,0.30449284978859414,0.334436750485118,False
0.5,h_D->C3,h_D,C3,0.25678400853951344,0.2848777950083017,False
0.5,h_D->C4,h_D,C4,0.29147062794953565,0.29284425142171366,False
0.5,h_D->C6,h_D,C6,0.42752688535075256,0.43161186520741024,False
0.5,h_D->C7,h_D,C7,0.2544737059904465,0.2525758990201667,True
0.5,h_E->C6,h_E,C6,0.2979423832995785,0.29686897119970923,True
0.5,h_I->C2,h_I,C2,0.2017204729994526,0.212043213358731,False
0.5,h_I->C4,h_I,C4,0.3042099145909355,0.29490518692082546,True
0.5,h_I->C5,h_I,C5,0.47642920586343285,0.4552711586651893,True
0.5,h_T->C3,h_T,C3,0.16975962901363284,0.18699477333676978,False
