seed,eta,C8_max_abs_diff,C9_max_abs_diff,C10_max_abs_diff,C8_C10_unchanged
21001,0.0,0.0,0.0,0.0,True
21001,0.1,0.0,0.0,0.0,True
21001,0.2,0.0,0.0,0.0,True
21001,0.3,0.0,0.0,0.0,True
21001,0.4,0.0,0.0,0.0,True
21001,0.5,0.0,0.0,0.0,True
21001,0.6,0.0,0.0,0.0,True
21001,0.7,0.0,0.0,0.0,True
21001,0.8,0.0,0.0,0.0,True
21001,0.9,0.0,0.0,0.0,True
21001,1.0,0.0,0.0,0.0,True
21002,0.0,0.0,0.0,0.0,True
21002,0.1,0.0,0.0,0.0,True
21002,0.2,0.0,0.0,0.0,True
21002,0.3,0.0,0.0,0.0,True
21002,0.4,0.0,0.0,0.0,True
21002,0.5,0.0,0.0,0.0,True
21002,0.6,0.0,0.0,0.0,True
21002,0.7,0.0,0.0,0.0,True
21002,0.8,0.0,0.0,0.0,True
21002,0.9,0.0,0.0,0.0,True
21002,1.0,0.0,0.0,0.0,True
21003,0.0,0.0,0.0,0.0,True
21003,0.1,0.0,0.0,0.0,True
21003,0.2,0.0,0.0,0.0,True
21003,0.3,0.0,0.0,0.0,True
21003,0.4,0.0,0.0,0.0,True
21003,0.5,0.0,0.0,0.0,True
21003,0.6,0.0,0.0,0.0,True
21003,0.7,0.0,0.0,0.0,True
21003,0.8,0.0,0.0,0.0,True
21003,0.9,0.0,0.0,0.0,True
21003,1.0,0.0,0.0,0.0,True
21004,0.0,0.0,0.0,0.0,True
21004,0.1,0.0,0.0,0.0,True
21004,0.2,0.0,0.0,0.0,True
21004,0.3,0.0,0.0,0.0,True
21004,0.4,0.0,0.0,0.0,True
21004,0.5,0.0,0.0,0.0,True
21004,0.6,0.0,0.0,0.0,True
21004,0.7,0.0,0.0,0.0,True
21004,0.8,0.0,0.0,0.0,True
21004,0.9,0.0,0.0,0.0,True
21004,1.0,0.0,0.0,0.0,True
21005,0.0,0.0,0.0,0.0,True
21005,0.1,0.0,0.0,0.0,True
21005,0.2,0.0,0.0,0.0,True
21005,0.3,0.0,0.0,0.0,True
21005,0.4,0.0,0.0,0.0,True
21005,0.5,0.0,0.0,0.0,True
21005,0.6,0.0,0.0,0.0,True
21005,0.7,0.0,0.0,0.0,True
21005,0.8,0.0,0.0,0.0,True
21005,0.9,0.0,0.0,0.0,True
21005,1.0,0.0,0.0,0.0,True
