seed,criterion,alternative_id,active,c
21001,C1,A1,True,0.6000000000000001
21001,C1,A2,True,1.0
21001,C1,A3,True,0.2
21001,C1,A4,True,0.8
21001,C1,A5,True,0.4
21001,C1,A6,True,0.0
21001,C2,A1,True,0.8
21001,C2,A2,True,1.0
21001,C2,A3,True,0.0
21001,C2,A4,True,0.6000000000000001
21001,C2,A5,True,0.2
21001,C2,A6,True,0.4
21001,C3,A1,True,0.25
21001,C3,A2,True,1.0
21001,C3,A3,True,0.75
21001,C3,A4,True,0.0
21001,C3,A5,False,
21001,C3,A6,True,0.5
21001,C4,A1,True,1.0
21001,C4,A2,True,0.8
21001,C4,A3,True,0.6000000000000001
21001,C4,A4,True,0.4
21001,C4,A5,True,0.0
21001,C4,A6,True,0.2
21001,C5,A1,True,0.75
21001,C5,A2,False,
21001,C5,A3,True,0.25
21001,C5,A4,True,0.0
21001,C5,A5,True,1.0
21001,C5,A6,True,0.5
21001,C6,A1,True,0.8
21001,C6,A2,True,0.2
21001,C6,A3,True,0.6000000000000001
21001,C6,A4,True,1.0
21001,C6,A5,True,0.0
21001,C6,A6,True,0.4
21001,C7,A1,True,0.2
21001,C7,A2,True,1.0
21001,C7,A3,True,0.8
21001,C7,A4,True,0.4
21001,C7,A5,True,0.6000000000000001
21001,C7,A6,True,0.0
21002,C1,A1,True,0.6000000000000001
21002,C1,A2,True,0.4
21002,C1,A3,True,0.8
21002,C1,A4,True,0.0
21002,C1,A5,True,0.2
21002,C1,A6,True,1.0
21002,C2,A1,True,0.6000000000000001
21002,C2,A2,True,0.2
21002,C2,A3,True,0.4
21002,C2,A4,True,0.8
21002,C2,A5,True,1.0
21002,C2,A6,True,0.0
21002,C3,A1,True,0.0
21002,C3,A2,True,1.0
21002,C3,A3,True,0.25
21002,C3,A4,True,0.5
21002,C3,A5,False,
21002,C3,A6,True,0.75
21002,C4,A1,True,0.2
21002,C4,A2,True,0.0
21002,C4,A3,True,0.8
21002,C4,A4,True,0.6000000000000001
21002,C4,A5,True,0.4
21002,C4,A6,True,1.0
21002,C5,A1,True,1.0
21002,C5,A2,False,
21002,C5,A3,True,0.75
21002,C5,A4,True,0.25
21002,C5,A5,True,0.5
21002,C5,A6,True,0.0
21002,C6,A1,True,0.8
21002,C6,A2,True,0.4
21002,C6,A3,True,0.2
21002,C6,A4,True,0.6000000000000001
21002,C6,A5,True,1.0
21002,C6,A6,True,0.0
21002,C7,A1,True,0.2
21002,C7,A2,True,0.6000000000000001
21002,C7,A3,True,0.0
21002,C7,A4,True,0.4
21002,C7,A5,True,1.0
21002,C7,A6,True,0.8
21003,C1,A1,True,0.0
21003,C1,A2,True,0.8
21003,C1,A3,True,1.0
21003,C1,A4,True,0.4
21003,C1,A5,True,0.2
21003,C1,A6,True,0.6000000000000001
21003,C2,A1,True,0.0
21003,C2,A2,True,0.6000000000000001
21003,C2,A3,True,0.4
21003,C2,A4,True,0.8
21003,C2,A5,True,1.0
21003,C2,A6,True,0.2
21003,C3,A1,True,0.5
21003,C3,A2,True,0.75
21003,C3,A3,True,0.25
21003,C3,A4,True,0.0
21003,C3,A5,False,
21003,C3,A6,True,1.0
21003,C4,A1,True,0.0
21003,C4,A2,True,0.8
21003,C4,A3,True,0.4
21003,C4,A4,True,1.0
21003,C4,A5,True,0.6000000000000001
21003,C4,A6,True,0.2
21003,C5,A1,True,0.25
21003,C5,A2,False,
21003,C5,A3,True,0.5
21003,C5,A4,True,0.75
21003,C5,A5,True,1.0
21003,C5,A6,True,0.0
21003,C6,A1,True,0.2
21003,C6,A2,True,0.4
