eta,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
0.0,h_D->C1,h_D,C1,0.5791198064373052,0.5562447848993066,True
0.0,h_D->C2,h_D,C2,0.3292532227358192,0.334436750485118,False
0.0,h_D->C3,h_D,C3,0.293005639848985,0.2848777950083017,True
0.0,h_D->C4,h_D,C4,0.31367838327096814,0.29284425142171366,True
0.0,h_D->C6,h_D,C6,0.4560293173615829,0.43161186520741024,True
0.0,h_D->C7,h_D,C7,0.2892494141645973,0.2525758990201667,True
0.0,h_E->C6,h_E,C6,0.30962454925786914,0.29686897119970923,True
0.0,h_I->C2,h_I,C2,0.21065091824668283,0.212043213358731,False
0.0,h_I->C4,h_I,C4,0.31364489140017837,0.29490518692082546,True
0.0,h_I->C5,h_I,C5,0.46786037378923134,0.4552711586651893,True
0.0,h_T->C3,h_T,C3,0.19417570887781851,0.18699477333676978,True
0.0,h_T->C7,h_T,C7,0.43016856830572675,0.37338001554965855,True
0.1,h_D->C1,h_D,C1,0.6180343381793004,0.5562447848993066,True
0.1,h_D->C2,h_D,C2,0.3526095196359765,0.334436750485118,True
0.1,h_D->C3,h_D,C3,0.32486484743445393,0.2848777950083017,True
0.1,h_D->C4,h_D,C4,0.3203596503688628,0.29284425142171366,True
0.1,h_D->C6,h_D,C6,0.474564880193351,0.43161186520741024,True
0.1,h_D->C7,h_D,C7,0.29186799116199574,0.2525758990201667,True
0.1,h_E->C6,h_E,C6,0.3238936536124957,0.29686897119970923,True
0.1,h_I->C2,h_I,C2,0.22069774921940283,0.212043213358731,True
0.1,h_I->C4,h_I,C4,0.3207605150236926,0.29490518692082546,True
0.1,h_I->C5,h_I,C5,0.46848817172439816,0.4552711586651893,True
0.1,h_T->C3,h_T,C3,0.2175821051226697,0.18699477333676978,True
0.1,h_T->C7,h_T,C7,0.439316175922348,0.37338001554965855,True
0.2,h_D->C1,h_D,C1,0.6301587030974977,0.5562447848993066,True
0.2,h_D->C2,h_D,C2,0.3750025455845255,0.334436750485118,True
0.2,h_D->C3,h_D,C3,0.368677738598575,0.2848777950083017,True
0.2,h_D->C4,h_D,C4,0.3289386417488174,0.29284425142171366,True
0.2,h_D->C6,h_D,C6,0.486706024960606,0.43161186520741024,True
0.2,h_D->C7,h_D,C7,0.29288134018790507,0.2525758990201667,True
0.2,h_E->C6,h_E,C6,0.3321753131016436,0.29686897119970923,True
0.2,h_I->C2,h_I,C2,0.23161968785365084,0.212043213358731,True
0.2,h_I->C4,h_I,C4,0.3258468899206215,0.29490518692082546,True
0.2,h_I->C5,h_I,C5,0.4718311151996467,0.4552711586651893,True
0.2,h_T->C3,h_T,C3,0.24286463128898414,0.18699477333676978,True
0.2,h_T->C7,h_T,C7,0.44324998397488036,0.37338001554965855,True
0.3,h_D->C1,h_D,C1,0.6303069387447314,0.5562447848993066,True
0.3,h_D->C2,h_D,C2,0.390761231456883,0.334436750485118,True
0.3,h_D->C3,h_D,C3,0.39540556057396586,0.2848777950083017,True
0.3,h_D->C4,h_D,C4,0.32962715580401736,0.29284425142171366,True
0.3,h_D->C6,h_D,C6,0.4952493953613742,0.43161186520741024,True
0.3,h_D->C7,h_D,C7,0.29031945406580223,0.2525758990201667,True
0.3,h_E->C6,h_E,C6,0.33317294856551805,0.29686897119970923,True
0.3,h_I->C2,h_I,C2,0.24472921887705532,0.212043213358731,True
0.3,h_I->C4,h_I,C4,0.3257690009389676,0.29490518692082546,True
0.3,h_I->C5,h_I,C5,0.48818766780822864,0.4552711586651893,True
0.3,h_T->C3,h_T,C3,0.26372455011065343,0.18699477333676978,True
0.3,h_T->C7,h_T,C7,0.44387141979462785,0.37338001554965855,True
0.4,h_D->C1,h_D,C1,0.6396618335507277,0.5562447848993066,True
0.4,h_D->C2,h_D,C2,0.38938274410265716,0.334436750485118,True
0.4,h_D->C3,h_D,C3,0.4093954431217016,0.2848777950083017,True
0.4,h_D->C4,h_D,C4,0.33030413727992103,0.29284425142171366,True
0.4,h_D->C6,h_D,C6,0.4944473858292806,0.43161186520741024,True
0.4,h_D->C7,h_D,C7,0.29214400756283093,0.2525758990201667,True
0.4,h_E->C6,h_E,C6,0.33527793148820034,0.29686897119970923,True
0.4,h_I->C2,h_I,C2,0.25438988069931906,0.212043213358731,True
0.4,h_I->C4,h_I,C4,0.31932986123178303,0.29490518692082546,True
0.4,h_I->C5,h_I,C5,0.48826892196687316,0.4552711586651893,True
0.4,h_T->C3,h_T,C3,0.27779054475899717,0.18699477333676978,True
0.4,h_T->C7,h_T,C7,0.4460796406211008,0.37338001554965855,True
0.5,h_D->C1,h_D,C1,0.6484136647993405,0.5562447848993066,True
0.5,h_D->C2,h_D,C2,0.38869337742078736,0.334436750485118,True
0.5,h_D->C3,h_D,C3,0.41580958665139095,0.2848777950083017,True
0.5,h_D->C4,h_D,C4,0.3232808323283396,0.29284425142171366,True
0.5,h_D->C6,h_D,C6,0.4925763558145028,0.43161186520741024,True
0.5,h_D->C7,h_D,C7,0.30224503160343313,0.2525758990201667,True
0.5,h_E->C6,h_E,C6,0.33595774420650004,0.29686897119970923,True
0.5,h_I->C2,h_I,C2,0.26480835686084253,0.212043213358731,True
0.5,h_I->C4,h_I,C4,0.31160865994437664,0.29490518692082546,True
0.5,h_I->C5,h_I,C5,0.48360382687420017,0.4552711586651893,True
0.5,h_T->C3,h_T,C3,0.293670816141702,0.18699477333676978,True
