seed,eta,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
21001,0.0,A6,962,0.962,38,0.0011106357489747713,0.0,0.0,0.029227256551967666,0.024378956429113238,0.06930059435701717
21001,0.1,A6,956,0.956,44,0.0015398983623598319,0.0,0.0,0.03499769005363254,0.03188235883553604,0.07729304314861521
21001,0.2,A6,945,0.945,55,0.0020761651019640813,0.0,0.0039048938720914915,0.03774845639934693,0.03399163531343513,0.08407778380826103
21001,0.3,A6,927,0.927,73,0.0028911576376459925,0.0,0.018796678509824014,0.03960489914583552,0.03456994341314971,0.09299661105489081
21001,0.4,A6,899,0.899,101,0.004170332415429837,0.0,0.03669351025425322,0.041290419954750864,0.03658187366814787,0.09690495100353294
21001,0.5,A6,872,0.872,128,0.00613781101833049,0.0,0.05521720530882562,0.04795164858070695,0.04068298500260027,0.1116362163832931
21001,0.6,A6,840,0.84,160,0.00894575685839072,0.0,0.07498615116915164,0.055910980364942,0.048612531831584996,0.1211898480813193
21001,0.7,A6,787,0.787,213,0.013562318360594048,0.0,0.09276438906694147,0.0636728561530237,0.05739094965005096,0.14241064048022406
21001,0.8,A6,677,0.677,323,0.022229675652015134,0.0,0.1217245293671224,0.06882252523843695,0.06019903074675323,0.14912885744801604
21001,0.9,A6,564,0.564,436,0.03532599275570254,0.0,0.1460381604149478,0.08102291916445538,0.07737429937963551,0.17884005104377548
21001,1.0,A6,443,0.443,557,0.05297282882433906,0.016148952725235567,0.18297888120184858,0.09510382194674875,0.08356465682069171,0.21052345975051504
21002,0.0,A1,467,0.467,533,0.06437548998930606,0.008484711880175431,0.27279264844864687,0.12077953093678433,0.09157011760711638,0.3294060629160771
21002,0.1,A1,417,0.417,583,0.07150389412166913,0.027231402437862227,0.2784793782530733,0.1226481888879402,0.09446311784589195,0.3200484582421572
21002,0.2,A1,339,0.339,661,0.0810575492111619,0.04377770746577536,0.28629817384231,0.12262866749041135,0.09587696628801749,0.3166730237417066
21002,0.3,A2,363,0.363,637,0.07885185147298472,0.0500205445536873,0.2581330239874463,0.12378626604864164,0.10597436247449506,0.27946867859742536
21002,0.4,A2,404,0.404,596,0.07420370940906543,0.04214408906537323,0.2518410533737703,0.12450286813601584,0.10924320730695035,0.28413217467090984
21002,0.5,A2,426,0.426,574,0.07081902872554825,0.028344493493693973,0.24989138409302877,0.12337809882499695,0.10937200180422085,0.2933022825875849
21002,0.6,A2,452,0.452,548,0.06831556485712437,0.016012743649231963,0.25467074289236913,0.12466343952029993,0.11129138150191803,0.29998239851869357
21002,0.7,A2,485,0.485,515,0.06688612900179976,0.007725287275338198,0.25216762502934376,0.1298759786442714,0.11431947019261018,0.30149105402096316
21002,0.8,A2,498,0.498,502,0.06631012921994761,0.0012276893875106999,0.2548692608849137,0.13209189087638967,0.12253817514744579,0.30592742579091936
21002,0.9,A2,513,0.513,487,0.06625851039427809,0.0,0.2609185107916568,0.1360544361278811,0.125564765161693,0.3141191035533096
21002,1.0,A2,523,0.523,477,0.06681358762038873,0.0,0.2668649771033707,0.14007041429850886,0.13031409367841018,0.32305888854896336
21003,0.0,A2,761,0.761,239,0.04453549050247285,0.0,0.28948414553810775,0.1863409644454931,0.1741235381048839,0.4010505667483874
21003,0.1,A2,782,0.782,218,0.03556322356584646,0.0,0.255242692699573,0.1631340530543416,0.15065020832885806,0.372602821031308
21003,0.2,A2,765,0.765,235,0.029676396920565205,0.0,0.21786436367753462,0.12628254008751152,0.09976489311443051,0.3302094317314388
21003,0.3,A2,704,0.704,296,0.02817316547515874,0.0,0.1791382421630748,0.0951796130917525,0.06558915421882892,0.2889476407086224
21003,0.4,A2,635,0.635,365,0.03156140648524597,0.0,0.16583790258695674,0.08646960680889307,0.0634266057883234,0.243256273319039
21003,0.5,A2,542,0.542,458,0.0397527723195177,0.0,0.1748592037526232,0.08679644611248406,0.07330553869211318,0.22514360937639907
21003,0.6,A4,493,0.493,507,0.05115591394100567,0.0015668768701317553,0.19090617635807178,0.10089923854241749,0.09177587208435793,0.22374324388654196
21003,0.7,A4,573,0.573,427,0.04054936020232096,0.0,0.177512353828394,0.09496337283915915,0.08721005760177536,0.2068293906381313
21003,0.8,A4,632,0.632,368,0.032292496546269374,0.0,0.16505701155508326,0.08775134931051463,0.07833785095424488,0.1898654220959695
21003,0.9,A4,699,0.699,301,0.026103059518755054,0.0,0.15085006463178802,0.0867211279692859,0.08188463388784761,0.19048380558521175
21003,1.0,A4,744,0.744,256,0.021508065643694854,0.0,0.13982401331648756,0.08401588142068303,0.0800251996360794,0.18700822535175438
21004,0.0,A2,771,0.771,229,0.024730159529102017,0.0,0.17201214728401676,0.10799196300917911,0.0821650560532659,0.2838736040309588
21004,0.1,A2,736,0.736,264,0.028866710105315097,0.0,0.18313575154461081,0.10934359888376931,0.08780598883881652,0.2794721006353388
21004,0.2,A2,671,0.671,329,0.0351005968050371,0.0,0.1979588464523966,0.10668874408825867,0.08577880300152028,0.27605808461194
21004,0.3,A2,596,0.596,404,0.04353567736628685,0.0,0.21438317051633451,0.10776157763932387,0.08653667235905158,0.2775029460871149
21004,0.4,A2,492,0.492,508,0.05547658817246277,0.003142843355530964,0.238300539756937,0.10920588222925744,0.08746563015638809,0.2783136354507665
21004,0.5,A2,355,0.355,645,0.07203789274388714,0.03650990364912371,0.26704667880749555,0.11168665541687926,0.0909345152373492,0.2891243315649598
21004,0.6,A4,416,0.416,584,0.0417767287225516,0.015040975069870696,0.14935096071079082,0.07153549438793082,0.06560646630421466,0.17317822809664835
21004,0.7,A4,460,0.46,540,0.03643646448577651,0.008865359039566686,0.12933040518106154,0.06747493423291946,0.062397851086297015,0.1510389202575633
21004,0.8,A4,461,0.461,539,0.03453920062696816,0.009485730897484227,0.12146641389530592,0.0640801495862118,0.06048746995741395,0.13623639726469153
21004,0.9,A4,449,0.449,551,0.03389603117128507,0.011351574661443714,0.11741664948823959,0.061517297951515545,0.058179392904489854,0.13410233381215658
21004,1.0,A4,449,0.449,551,0.03383572339134389,0.012474480015447069,0.11688087213951041,0.06140784644527022,0.05725417605636657,0.127554787652698
21005,0.0,A2,875,0.875,125,0.010305227486409952,0.0,0.08205295143968132,0.08244181989127962,0.057073259668872695,0.23133901328645481
21005,0.1,A2,862,0.862,138,0.011836255955703211,0.0,0.08895792818627359,0.08576997069350153,0.0639200274339025,0.22556237706575638
21005,0.2,A2,831,0.831,169,0.013799224636695069,0.0,0.1029663629148564,0.08165221678517792,0.06313846545501542,0.21854359014652375
21005,0.3,A2,794,0.794,206,0.016529783530261775,0.0,0.11495683080607243,0.08024166762262998,0.06253297554710338,0.21802281728689094
21005,0.4,A2,764,0.764,236,0.019910347167204637,0.0,0.12585856616005167,0.08436587782713828,0.0705157198634141,0.22503316110962487
21005,0.5,A2,729,0.729,271,0.02376580959895875,0.0,0.13712324748524915,0.08769671438730166,0.0669932941878353,0.2294480548443278
