seed,eta,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21001,0.0,h_D,C1,h_D->C1,6,0.04809198167361342,0.08304323412609904,0.5791198064373052
21001,0.0,h_D,C2,h_D->C2,6,0.03504250846459439,0.1064302671757961,0.3292532227358192
21001,0.0,h_D,C3,h_D->C3,5,0.033795969645219345,0.11534238611360781,0.293005639848985
21001,0.0,h_D,C4,h_D->C4,6,0.0351336827519642,0.09863086417420494,0.3562138793547805
21001,0.0,h_D,C6,h_D->C6,6,0.02943096016941953,0.05850921020668829,0.5030141419607167
21001,0.0,h_D,C7,h_D->C7,6,0.020341430869993876,0.07011348738644058,0.2901215105388929
21001,0.0,h_E,C6,h_E->C6,6,0.019059973079908456,0.05850921020668829,0.3257602181306477
21001,0.0,h_I,C2,h_I->C2,6,0.02179222421949083,0.1064302671757961,0.20475589132263275
21001,0.0,h_I,C4,h_I->C4,6,0.03358140929068898,0.09863086417420494,0.3404756672418074
21001,0.0,h_I,C5,h_I->C5,5,0.06183945579426667,0.16016758802116354,0.3860921960422448
21001,0.0,h_T,C3,h_T->C3,5,0.022286551814784297,0.11534238611360781,0.19322083204208798
21001,0.0,h_T,C7,h_T->C7,6,0.030633309109008133,0.07011348738644058,0.43691036133649047
21001,0.1,h_D,C1,h_D->C1,6,0.05142217441009232,0.08871932053474932,0.5796051423699963
21001,0.1,h_D,C2,h_D->C2,6,0.037852549109249456,0.11136387748440092,0.3398997050386619
21001,0.1,h_D,C3,h_D->C3,5,0.035815455910608335,0.10950093945350464,0.3270789829660677
21001,0.1,h_D,C4,h_D->C4,6,0.03605942870482932,0.09815944155241765,0.36735568310263905
21001,0.1,h_D,C6,h_D->C6,6,0.03086924911924432,0.05895362112434729,0.5236192201596925
21001,0.1,h_D,C7,h_D->C7,6,0.021538502607446997,0.0724863775905719,0.2971386255332934
21001,0.1,h_E,C6,h_E->C6,6,0.019808846836337893,0.05895362112434729,0.33600729621375236
21001,0.1,h_I,C2,h_I->C2,6,0.02357174419788797,0.11136387748440092,0.21166418348694863
21001,0.1,h_I,C4,h_I->C4,6,0.03457683037199737,0.09815944155241765,0.35225170217763424
21001,0.1,h_I,C5,h_I->C5,5,0.06264689609765985,0.15608467167719317,0.4013648196462352
21001,0.1,h_T,C3,h_T->C3,5,0.023632313324407357,0.10950093945350464,0.21581836139612381
21001,0.1,h_T,C7,h_T->C7,6,0.03256224405088292,0.0724863775905719,0.44921880679920995
21001,0.2,h_D,C1,h_D->C1,6,0.054971802613981074,0.09386371682446104,0.5856555064423964
21001,0.2,h_D,C2,h_D->C2,6,0.04055617430114879,0.11634123158004346,0.34859674210082003
21001,0.2,h_D,C3,h_D->C3,5,0.03796176221505734,0.1039887639906189,0.3650563845351303
21001,0.2,h_D,C4,h_D->C4,6,0.03717374784120625,0.09860547671209961,0.3769947581042196
21001,0.2,h_D,C6,h_D->C6,6,0.03209482998451942,0.06083761416433994,0.5275491227728701
21001,0.2,h_D,C7,h_D->C7,6,0.022698851358513874,0.07485254664700755,0.303247549682641
21001,0.2,h_E,C6,h_E->C6,6,0.02052486695399599,0.06083761416433994,0.337371332449281
21001,0.2,h_I,C2,h_I->C2,6,0.02514645910000221,0.11634123158004346,0.21614399949415314
21001,0.2,h_I,C4,h_I->C4,6,0.03549162100254073,0.09860547671209961,0.35993559572564504
21001,0.2,h_I,C5,h_I->C5,5,0.06625342547841392,0.15359062144504146,0.4313637437927138
21001,0.2,h_T,C3,h_T->C3,5,0.024990952530404655,0.1039887639906189,0.24032358469438897
21001,0.2,h_T,C7,h_T->C7,6,0.03421532873515942,0.07485254664700755,0.4571030681969479
21001,0.3,h_D,C1,h_D->C1,6,0.05846898889338905,0.09927721989844053,0.5889466783277494
