seed,p,C8_max_abs_diff,C9_max_abs_diff,C10_max_abs_diff,C8_C10_unchanged
23001,1,0.0,0.0,0.0,True
23001,2,0.0,0.0,0.0,True
23001,3,0.0,0.0,0.0,True
23001,4,0.0,0.0,0.0,True
23001,5,0.0,0.0,0.0,True
23002,1,0.0,0.0,0.0,True
23002,2,0.0,0.0,0.0,True
23002,3,0.0,0.0,0.0,True
23002,4,0.0,0.0,0.0,True
23002,5,0.0,0.0,0.0,True
23003,1,0.0,0.0,0.0,True
23003,2,0.0,0.0,0.0,True
23003,3,0.0,0.0,0.0,True
23003,4,0.0,0.0,0.0,True
23003,5,0.0,0.0,0.0,True
23004,1,0.0,0.0,0.0,True
23004,2,0.0,0.0,0.0,True
23004,3,0.0,0.0,0.0,True
23004,4,0.0,0.0,0.0,True
23004,5,0.0,0.0,0.0,True
23005,1,0.0,0.0,0.0,True
23005,2,0.0,0.0,0.0,True
23005,3,0.0,0.0,0.0,True
23005,4,0.0,0.0,0.0,True
23005,5,0.0,0.0,0.0,True
