seed,p,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
23001,1,C1,0.04732091516075905,0.0369459326764122,0.18193066903010496
23001,1,C2,0.05589287318496512,0.05117684092666039,0.18918149799300363
23001,1,C3,0.04585213477140078,0.04193290283617559,0.14662923176156456
23001,1,C4,0.044539731858925916,0.041803738557511495,0.1371070820546083
23001,1,C5,0.04009371193150153,0.029590238847006393,0.14097416974519153
23001,1,C6,0.04645260646520934,0.04081583439309698,0.14411232617157632
23001,1,C7,0.034942224521278105,0.0264839220470095,0.12911504027689558
23001,2,C1,0.047250763801701075,0.038983057216639305,0.18197886216206055
23001,2,C2,0.056394242353529536,0.05005235092265917,0.19012179436837703
23001,2,C3,0.04700125598162663,0.04109060851835396,0.1451984668578012
23001,2,C4,0.04362401607528897,0.0414449976299701,0.13589558052893708
23001,2,C5,0.03446522322877627,0.024785996564036163,0.1408890955364546
23001,2,C6,0.04959947792343142,0.03942132861716582,0.14497826937723746
23001,2,C7,0.03478437828757434,0.025438672378162205,0.12928854204366866
23001,3,C1,0.04725871767357734,0.04084438203340369,0.1819789259934635
23001,3,C2,0.05668967684870036,0.04817925187116247,0.1901295836895925
23001,3,C3,0.04767317379725891,0.039284375159269344,0.14378166293702355
23001,3,C4,0.0432021154030657,0.04046270220669118,0.1346947840370592
23001,3,C5,0.031680616016796434,0.02245042491190634,0.14080407266776815
23001,3,C6,0.05124061365107659,0.038479959554432425,0.1449869415204116
23001,3,C7,0.03477483400808524,0.025132272562892216,0.12928970778171933
23001,4,C1,0.047280660407409345,0.04213177458559066,0.18197892607800764
23001,4,C2,0.056879286594808565,0.04762038779748068,0.19012964821555114
23001,4,C3,0.04810227629783124,0.03866335292292454,0.1423786837720672
23001,4,C4,0.042974411548399566,0.04003874524909746,0.1335045979874731
23001,4,C5,0.030029553874160307,0.021121134877784224,0.14071910110814984
23001,4,C6,0.05222330798007357,0.037885901111176234,0.1449870283691411
23001,4,C7,0.03479876252035016,0.02471748007473777,0.12928971561417676
23001,5,C1,0.04730533566395252,0.04338258084183536,0.18197892607811966
23001,5,C2,0.05701546439691221,0.04682644091186017,0.19012964875007773
23001,5,C3,0.048394200948886204,0.037561136332586204,0.14098939446503223
23001,5,C4,0.04284333541809514,0.03983945919083297,0.1323249286245038
23001,5,C5,0.028941548225278238,0.02013580230936715,0.14063418082663595
23001,5,C6,0.052863646558754224,0.03763630616258379,0.14498702923890325
23001,5,C7,0.03482678417325943,0.024656672850645767,0.1292897156668021
23002,1,C1,0.04763273164796386,0.03887452142876685,0.1803226988321589
23002,1,C2,0.044792560330066164,0.03947419701532483,0.12365304258407761
23002,1,C3,0.04138210052357198,0.027391596995141494,0.1431836343270994
23002,1,C4,0.035344908571138645,0.015010582895856245,0.14824305111819241
23002,1,C5,0.06176703663630153,0.048465199557260155,0.1868840810472183
23002,1,C6,0.02366020207047445,0.02198570491852756,0.06415570897080719
23002,1,C7,0.050894111632569565,0.04643626854406334,0.14495607991222476
23002,2,C1,0.045621796913017876,0.038577428292751174,0.1802915650210256
23002,2,C2,0.045510227873039794,0.038870924962625814,0.12316926900704372
23002,2,C3,0.036128674789690444,0.026417228926820024,0.14269166052426227
23002,2,C4,0.03071053358007402,0.011380197106829401,0.14768064301661654
23002,2,C5,0.05936970311373068,0.04173253075140179,0.1868840810472183
23002,2,C6,0.024654760551591916,0.02448988273123298,0.06406434517127035
23002,2,C7,0.05453506911760184,0.0501578342919963,0.14480916350856315
23002,3,C1,0.044566792521540305,0.03907680444149811,0.1802604365853343
23002,3,C2,0.045810334303422656,0.038247902090600264,0.1226886499132982
23002,3,C3,0.03342750838517156,0.026278878109332184,0.1422013771256659
23002,3,C4,0.02833743608936493,0.009119710646211171,0.1471217910443199
23002,3,C5,0.05809680515915775,0.03809823020259734,0.1868840810472183
23002,3,C6,0.025152653039802422,0.026128786677669234,0.06397363192520722
23002,3,C7,0.05629482849611446,0.05318671969554678,0.14466299162109142
23002,4,C1,0.04391647477073728,0.03770325388149947,0.18022931352415672
23002,4,C2,0.0459596688651215,0.03742143155662282,0.12221116473378724
23002,4,C3,0.031824860573176815,0.026286154513144325,0.14171277832314236
23002,4,C4,0.026940531040334333,0.00765559580746146,0.14656647271575265
23002,4,C5,0.05730291520979265,0.03616886229736328,0.1868840810472183
23002,4,C6,0.025441889469261725,0.02692709414070494,0.06388356460036934
23002,4,C7,0.05729703592974299,0.05502701845512965,0.14451756047688613
23002,5,C1,0.04347075840624814,0.03684026633722593,0.18019819583656516
23002,5,C2,0.046042997809813496,0.03680561323689788,0.12173679303357876
23002,5,C3,0.03078378323421366,0.026567425904487865,0.14122585832848025
23002,5,C4,0.026041411281145357,0.006851019433880515,0.14601466568754184
23002,5,C5,0.0567596308343504,0.034861344349012835,0.1868840810472183
23002,5,C6,0.025624530058449262,0.02751155552934901,0.06379413859749195
23002,5,C7,0.0579339875705366,0.05639546757553764,0.14437286632214347
23003,1,C1,0.03716472247717572,0.03280098767195478,0.12705661562145354
23003,1,C2,0.03340165369413086,0.03059271754350033,0.1135538563900006
23003,1,C3,0.04709202291192817,0.036946581210897285,0.19421166907702697
23003,1,C4,0.052412321812955506,0.0481103289551007,0.15606060077133976
