seed,p,dominant_alternative,dominated_alternative,contexts_dominated,context_count,dominance_share,structural_dominance
23001,1,A1,A2,0,1000,0.0,False
23001,1,A1,A3,0,1000,0.0,False
23001,1,A1,A4,0,1000,0.0,False
23001,1,A1,A5,0,1000,0.0,False
23001,1,A1,A6,0,1000,0.0,False
23001,1,A2,A1,0,1000,0.0,False
23001,1,A2,A3,0,1000,0.0,False
23001,1,A2,A4,0,1000,0.0,False
23001,1,A2,A5,0,1000,0.0,False
23001,1,A2,A6,0,1000,0.0,False
23001,1,A3,A1,0,1000,0.0,False
23001,1,A3,A2,0,1000,0.0,False
23001,1,A3,A4,0,1000,0.0,False
23001,1,A3,A5,1000,1000,1.0,True
23001,1,A3,A6,0,1000,0.0,False
23001,1,A4,A1,0,1000,0.0,False
23001,1,A4,A2,0,1000,0.0,False
23001,1,A4,A3,0,1000,0.0,False
23001,1,A4,A5,0,1000,0.0,False
23001,1,A4,A6,0,1000,0.0,False
23001,1,A5,A1,0,1000,0.0,False
23001,1,A5,A2,0,1000,0.0,False
23001,1,A5,A3,0,1000,0.0,False
23001,1,A5,A4,0,1000,0.0,False
23001,1,A5,A6,0,1000,0.0,False
23001,1,A6,A1,0,1000,0.0,False
23001,1,A6,A2,0,1000,0.0,False
23001,1,A6,A3,0,1000,0.0,False
23001,1,A6,A4,0,1000,0.0,False
23001,1,A6,A5,1000,1000,1.0,True
23001,2,A1,A2,0,1000,0.0,False
23001,2,A1,A3,0,1000,0.0,False
23001,2,A1,A4,0,1000,0.0,False
23001,2,A1,A5,0,1000,0.0,False
23001,2,A1,A6,0,1000,0.0,False
23001,2,A2,A1,0,1000,0.0,False
23001,2,A2,A3,0,1000,0.0,False
23001,2,A2,A4,0,1000,0.0,False
23001,2,A2,A5,0,1000,0.0,False
23001,2,A2,A6,0,1000,0.0,False
23001,2,A3,A1,0,1000,0.0,False
23001,2,A3,A2,0,1000,0.0,False
23001,2,A3,A4,0,1000,0.0,False
23001,2,A3,A5,946,1000,0.946,False
23001,2,A3,A6,0,1000,0.0,False
23001,2,A4,A1,0,1000,0.0,False
23001,2,A4,A2,0,1000,0.0,False
23001,2,A4,A3,0,1000,0.0,False
23001,2,A4,A5,0,1000,0.0,False
23001,2,A4,A6,0,1000,0.0,False
23001,2,A5,A1,0,1000,0.0,False
23001,2,A5,A2,0,1000,0.0,False
23001,2,A5,A3,0,1000,0.0,False
23001,2,A5,A4,0,1000,0.0,False
23001,2,A5,A6,0,1000,0.0,False
23001,2,A6,A1,0,1000,0.0,False
23001,2,A6,A2,0,1000,0.0,False
23001,2,A6,A3,0,1000,0.0,False
23001,2,A6,A4,0,1000,0.0,False
23001,2,A6,A5,0,1000,0.0,False
23001,3,A1,A2,0,1000,0.0,False
23001,3,A1,A3,0,1000,0.0,False
23001,3,A1,A4,0,1000,0.0,False
23001,3,A1,A5,0,1000,0.0,False
23001,3,A1,A6,0,1000,0.0,False
23001,3,A2,A1,0,1000,0.0,False
23001,3,A2,A3,0,1000,0.0,False
23001,3,A2,A4,0,1000,0.0,False
23001,3,A2,A5,0,1000,0.0,False
23001,3,A2,A6,0,1000,0.0,False
23001,3,A3,A1,0,1000,0.0,False
23001,3,A3,A2,0,1000,0.0,False
23001,3,A3,A4,0,1000,0.0,False
23001,3,A3,A5,638,1000,0.638,False
23001,3,A3,A6,0,1000,0.0,False
23001,3,A4,A1,0,1000,0.0,False
23001,3,A4,A2,0,1000,0.0,False
23001,3,A4,A3,0,1000,0.0,False
23001,3,A4,A5,0,1000,0.0,False
23001,3,A4,A6,0,1000,0.0,False
23001,3,A5,A1,0,1000,0.0,False
23001,3,A5,A2,0,1000,0.0,False
23001,3,A5,A3,0,1000,0.0,False
23001,3,A5,A4,0,1000,0.0,False
23001,3,A5,A6,0,1000,0.0,False
23001,3,A6,A1,0,1000,0.0,False
23001,3,A6,A2,0,1000,0.0,False
23001,3,A6,A3,0,1000,0.0,False
23001,3,A6,A4,0,1000,0.0,False
23001,3,A6,A5,0,1000,0.0,False
23001,4,A1,A2,0,1000,0.0,False
23001,4,A1,A3,0,1000,0.0,False
23001,4,A1,A4,0,1000,0.0,False
23001,4,A1,A5,0,1000,0.0,False
23001,4,A1,A6,0,1000,0.0,False
23001,4,A2,A1,0,1000,0.0,False
23001,4,A2,A3,0,1000,0.0,False
23001,4,A2,A4,0,1000,0.0,False
23001,4,A2,A5,0,1000,0.0,False
23001,4,A2,A6,0,1000,0.0,False
23001,4,A3,A1,0,1000,0.0,False
23001,4,A3,A2,0,1000,0.0,False
23001,4,A3,A4,0,1000,0.0,False
23001,4,A3,A5,520,1000,0.52,False
23001,4,A3,A6,0,1000,0.0,False
23001,4,A4,A1,0,1000,0.0,False
23001,4,A4,A2,0,1000,0.0,False
23001,4,A4,A3,0,1000,0.0,False
