p,criterion,median_LRV50,T_sci_LRV,pass_sci_LRV,median_NSV_vector,T_sci_NSV_vector,pass_sci_NSV,all_seed_num_NS,all_seed_num_LRV,all_seed_num_NSV
1,C1,3.872753279065746e-16,0.18560606963725407,False,1.2873928859467624e-10,0.10168471301105081,False,False,False,False
1,C2,1.4488304127766424e-16,0.10710704986591753,False,1.0687651840466587e-11,0.06943636962637245,False,False,False,False
1,C3,1.5173105863798176e-16,0.1630294005273959,False,1.7878005881706425e-11,0.06490012984357067,False,False,False,False
1,C4,1.6011864169946886e-16,0.11579623197303515,False,1.1435880747933998e-11,0.0694226473689036,False,False,False,False
1,C5,2.3406634072461434e-16,0.12796380284769598,False,6.165934422663808e-11,0.07368074400701694,False,False,False,False
1,C6,1.1784895819874705e-16,0.19489930736500777,False,1.6140628136423615e-11,0.12993524843563106,False,False,False,False
1,C7,1.4670075518060814e-16,0.1440800524986886,False,1.6627193594263338e-11,0.07309196921116115,False,False,False,False
2,C1,0.09255272620866666,0.18560606963725407,False,0.07034349078113517,0.10168471301105081,False,True,True,True
2,C2,0.06097989267689646,0.10710704986591753,False,0.0557760408754006,0.06943636962637245,False,True,True,True
2,C3,0.10960620371729549,0.1630294005273959,False,0.06823388629179987,0.06490012984357067,True,True,True,True
2,C4,0.07461318536121864,0.11579623197303515,False,0.05315769806736793,0.0694226473689036,False,True,True,True
2,C5,0.059267183839226203,0.12796380284769598,False,0.05213567713690376,0.07368074400701694,False,True,True,True
2,C6,0.10699083735709942,0.19489930736500777,False,0.0765643576825481,0.12993524843563106,False,True,True,True
2,C7,0.0645633522259782,0.1440800524986886,False,0.0502059872576588,0.07309196921116115,False,True,True,True
3,C1,0.1312006528295923,0.18560606963725407,False,0.09859076778101745,0.10168471301105081,False,True,True,True
3,C2,0.0809552242327986,0.10710704986591753,False,0.06845269853444316,0.06943636962637245,False,True,True,True
3,C3,0.16928366841680303,0.1630294005273959,True,0.09292976823198049,0.06490012984357067,True,True,True,True
3,C4,0.12230616444310233,0.11579623197303515,True,0.0657938272363298,0.0694226473689036,False,True,True,True
3,C5,0.10448711878315267,0.12796380284769598,False,0.0646560981798371,0.07368074400701694,False,True,True,True
3,C6,0.1349105724995152,0.19489930736500777,False,0.11276326247942091,0.12993524843563106,False,True,True,True
3,C7,0.11129770823679395,0.1440800524986886,False,0.07005552645269768,0.07309196921116115,False,True,True,True
4,C1,0.14576427048976295,0.18560606963725407,False,0.11743655015488881,0.10168471301105081,True,True,True,True
4,C2,0.10916097706962677,0.10710704986591753,True,0.08337120172040036,0.06943636962637245,True,True,True,True
4,C3,0.20393264692391952,0.1630294005273959,True,0.0971744518912083,0.06490012984357067,True,True,True,True
4,C4,0.12701776077713478,0.11579623197303515,True,0.07485937673082624,0.0694226473689036,True,True,True,True
4,C5,0.13381350102379902,0.12796380284769598,True,0.08195934352609428,0.07368074400701694,True,True,True,True
4,C6,0.15833202484738942,0.19489930736500777,False,0.13467342941963875,0.12993524843563106,True,True,True,True
4,C7,0.1479260001592782,0.1440800524986886,True,0.08463541952164334,0.07309196921116115,True,True,True,True
5,C1,0.16913077058513526,0.18560606963725407,False,0.12519997892503593,0.10168471301105081,True,True,True,True
5,C2,0.1311162922944942,0.10710704986591753,True,0.09561899667522546,0.06943636962637245,True,True,True,True
5,C3,0.22153663083723432,0.1630294005273959,True,0.09917444292663673,0.06490012984357067,True,True,True,True
5,C4,0.1270056590267893,0.11579623197303515,True,0.08346837430106739,0.0694226473689036,True,True,True,True
5,C5,0.14480060511289994,0.12796380284769598,True,0.09727634725340976,0.07368074400701694,True,True,True,True
5,C6,0.16923141354169757,0.19489930736500777,False,0.1491931861640773,0.12993524843563106,True,True,True,True
5,C7,0.1639588262124582,0.1440800524986886,True,0.09652883129972589,0.07309196921116115,True,True,True,True
