p,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
1,h_D->C1,h_D,C1,0.6806595323477699,0.5562447848993066,True
1,h_D->C2,h_D,C2,0.432896841408997,0.334436750485118,True
1,h_D->C3,h_D,C3,0.49822539891908807,0.2848777950083017,True
1,h_D->C4,h_D,C4,0.39450938678060293,0.29284425142171366,True
1,h_D->C6,h_D,C6,0.5148552461058169,0.43161186520741024,True
1,h_D->C7,h_D,C7,0.3385838057468594,0.2525758990201667,True
1,h_E->C6,h_E,C6,0.3522102149573991,0.29686897119970923,True
1,h_I->C2,h_I,C2,0.2859713763161488,0.212043213358731,True
1,h_I->C4,h_I,C4,0.38146440899003814,0.29490518692082546,True
1,h_I->C5,h_I,C5,0.6016121613967534,0.4552711586651893,True
1,h_T->C3,h_T,C3,0.31993113361679776,0.18699477333676978,True
1,h_T->C7,h_T,C7,0.4947748948766895,0.37338001554965855,True
2,h_D->C1,h_D,C1,0.6571275655128287,0.5562447848993066,True
2,h_D->C2,h_D,C2,0.4270451944603251,0.334436750485118,True
2,h_D->C3,h_D,C3,0.4463428485958967,0.2848777950083017,True
2,h_D->C4,h_D,C4,0.3653285906367195,0.29284425142171366,True
2,h_D->C6,h_D,C6,0.48418624974338415,0.43161186520741024,True
2,h_D->C7,h_D,C7,0.3205742937501852,0.2525758990201667,True
2,h_E->C6,h_E,C6,0.3185979527438521,0.29686897119970923,True
2,h_I->C2,h_I,C2,0.28677525282669847,0.212043213358731,True
2,h_I->C4,h_I,C4,0.369784449145653,0.29490518692082546,True
2,h_I->C5,h_I,C5,0.6067222757318573,0.4552711586651893,True
2,h_T->C3,h_T,C3,0.29849845739386527,0.18699477333676978,True
2,h_T->C7,h_T,C7,0.4765394085914573,0.37338001554965855,True
3,h_D->C1,h_D,C1,0.6441170933026885,0.5562447848993066,True
3,h_D->C2,h_D,C2,0.4232225949372184,0.334436750485118,True
3,h_D->C3,h_D,C3,0.40946973163176864,0.2848777950083017,True
3,h_D->C4,h_D,C4,0.34575758707000165,0.29284425142171366,True
3,h_D->C6,h_D,C6,0.4566572326859049,0.43161186520741024,True
3,h_D->C7,h_D,C7,0.30551149670399064,0.2525758990201667,True
3,h_E->C6,h_E,C6,0.2934123893600874,0.29686897119970923,False
3,h_I->C2,h_I,C2,0.2844855839678672,0.212043213358731,True
3,h_I->C4,h_I,C4,0.34469419582803557,0.29490518692082546,True
3,h_I->C5,h_I,C5,0.6065055012110446,0.4552711586651893,True
3,h_T->C3,h_T,C3,0.2711270250265448,0.18699477333676978,True
3,h_T->C7,h_T,C7,0.44556927106871547,0.37338001554965855,True
4,h_D->C1,h_D,C1,0.6332712684826872,0.5562447848993066,True
4,h_D->C2,h_D,C2,0.42064610539940317,0.334436750485118,True
4,h_D->C3,h_D,C3,0.38371236508833234,0.2848777950083017,True
4,h_D->C4,h_D,C4,0.3276909949694772,0.29284425142171366,True
4,h_D->C6,h_D,C6,0.4239455021643997,0.43161186520741024,False
4,h_D->C7,h_D,C7,0.2929402608562606,0.2525758990201667,True
4,h_E->C6,h_E,C6,0.2735487184407832,0.29686897119970923,False
4,h_I->C2,h_I,C2,0.288448720477859,0.212043213358731,True
4,h_I->C4,h_I,C4,0.3239595897720153,0.29490518692082546,True
4,h_I->C5,h_I,C5,0.6118667607947416,0.4552711586651893,True
4,h_T->C3,h_T,C3,0.2554022214374458,0.18699477333676978,True
4,h_T->C7,h_T,C7,0.4345582751278737,0.37338001554965855,True
5,h_D->C1,h_D,C1,0.6271461877209764,0.5562447848993066,True
5,h_D->C2,h_D,C2,0.41750762268733155,0.334436750485118,True
5,h_D->C3,h_D,C3,0.3590602657842992,0.2848777950083017,True
5,h_D->C4,h_D,C4,0.31224744263349435,0.29284425142171366,True
5,h_D->C6,h_D,C6,0.39867688219849584,0.43161186520741024,False
5,h_D->C7,h_D,C7,0.2849462821910296,0.2525758990201667,True
5,h_E->C6,h_E,C6,0.2585695098733023,0.29686897119970923,False
5,h_I->C2,h_I,C2,0.28689433314960516,0.212043213358731,True
5,h_I->C4,h_I,C4,0.31032545116976784,0.29490518692082546,True
5,h_I->C5,h_I,C5,0.613959956630871,0.4552711586651893,True
5,h_T->C3,h_T,C3,0.2417951317701277,0.18699477333676978,True
5,h_T->C7,h_T,C7,0.4256493094134709,0.37338001554965855,True
