seed,p,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
23001,1,h_D,C1,h_D->C1,6,0.08055654179193514,0.1228020202684778,0.6559871052215687
23001,1,h_D,C2,h_D->C2,6,0.06067580559853808,0.14606194229172295,0.415411466163702
23001,1,h_D,C3,h_D->C3,5,0.049825137557410144,0.10593041498902381,0.47035723934530527
23001,1,h_D,C4,h_D->C4,6,0.04483363250580236,0.12298173510499447,0.36455521193583357
23001,1,h_D,C6,h_D->C6,6,0.03970519234660796,0.07808925989455903,0.5084590685032988
23001,1,h_D,C7,h_D->C7,6,0.03222261671677408,0.09516880656875415,0.3385838057468594
23001,1,h_E,C6,h_E->C6,6,0.026815923070334206,0.07808925989455903,0.34340091206139395
23001,1,h_I,C2,h_I->C2,6,0.04107338465139473,0.14606194229172295,0.28120524762760923
23001,1,h_I,C4,h_I->C4,6,0.045703357503376264,0.12298173510499447,0.3716271970304032
23001,1,h_I,C5,h_I->C5,5,0.09763313366966839,0.15703439587915935,0.6217308833675969
23001,1,h_T,C3,h_T->C3,5,0.03400142643396742,0.10593041498902381,0.3209788844607997
23001,1,h_T,C7,h_T->C7,6,0.04934900327781029,0.09516880656875415,0.5185417896528927
23001,2,h_D,C1,h_D->C1,6,0.08014013630904962,0.12440970430979653,0.644163063910561
23001,2,h_D,C2,h_D->C2,6,0.0604734516942235,0.14160902049306348,0.4270451944603251
23001,2,h_D,C3,h_D->C3,5,0.04959524182473643,0.11111467783186528,0.4463428485958967
23001,2,h_D,C4,h_D->C4,6,0.044667120713378264,0.12226560378196527,0.3653285906367195
23001,2,h_D,C6,h_D->C6,6,0.03934509021755897,0.08478885565511268,0.4640361037202235
23001,2,h_D,C7,h_D->C7,6,0.03194021516325369,0.10319924595441973,0.3095004703527708
23001,2,h_E,C6,h_E->C6,6,0.026493884683873273,0.08478885565511268,0.31246894982670104
23001,2,h_I,C2,h_I->C2,6,0.04060996265472618,0.14160902049306348,0.28677525282669847
23001,2,h_I,C4,h_I->C4,6,0.04521191894434448,0.12226560378196527,0.369784449145653
23001,2,h_I,C5,h_I->C5,5,0.09711618351226708,0.16355146718945932,0.5937958563170401
