seed,tau,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
27001,0.0,A2,394,0.394,606,0.07718110885418183,0.042857722963224446,0.24341097479055607,0.12736156576597665,0.12075419799022263,0.2621547471177029
27001,0.1,A2,392,0.392,608,0.07675744983347618,0.04394672096200757,0.24188149991231606,0.12624580564716478,0.11990315584027231,0.2614307086970343
27001,0.2,A2,393,0.393,607,0.07634783358564667,0.043968736028642486,0.2404483559427922,0.12577896801589233,0.11931779310227038,0.2604904569756764
27001,0.3,A2,393,0.393,607,0.07594492914169858,0.044092076206780295,0.23936192560997063,0.1251152045168016,0.11899006136509861,0.25892741537560593
27001,0.4,A2,394,0.394,606,0.07554746189864368,0.04395641437398396,0.2374183518886502,0.12466577871063317,0.11912691029458503,0.2577071494427807
27001,0.5,A2,395,0.395,605,0.07516365915052313,0.04510818103678219,0.2367251083825503,0.12423745314136052,0.11960364708919859,0.2564741290136093
27001,0.6,A2,394,0.394,606,0.07478387654207119,0.045669773725537655,0.23552155487580168,0.12340573686810428,0.11948422058819902,0.25510886911452924
27001,0.7,A2,391,0.391,609,0.07440898497438521,0.04541062329990428,0.23379910772040904,0.12218224133724993,0.11818475125001227,0.2536428997462028
27001,0.8,A2,388,0.388,612,0.0740382043827587,0.04512757672577406,0.23202182399729035,0.12097745814176257,0.11592527648458503,0.2523416222458782
27001,0.9,A2,387,0.387,613,0.07367799295796992,0.04521031082875856,0.2301997177016736,0.12019248443388242,0.11537451261310981,0.2515717067901031
27001,1.0,A2,387,0.387,613,0.0733260977321818,0.045013787670029545,0.2284190332564003,0.11961843023194423,0.11463365332312,0.24999415011753334
27002,0.0,A4,899,0.899,101,0.0073641092715410516,0.0,0.053539286683448165,0.07291197298555495,0.05341432009410133,0.20173346916015528
27002,0.1,A4,894,0.894,106,0.007740588219161587,0.0,0.056277284786161605,0.07302441716190175,0.04800835705402563,0.2041731181669738
27002,0.2,A4,894,0.894,106,0.00813218792565925,0.0,0.059028667523872314,0.07671875401565328,0.051536364504834106,0.21003653448197587
27002,0.3,A4,890,0.89,110,0.008538633687972124,0.0,0.061793325707620916,0.07762394261792842,0.05102452123296791,0.2137605710462776
27002,0.4,A4,890,0.89,110,0.008955046329723479,0.0,0.06457114974152126,0.08140951208839524,0.05524667599927232,0.21982217970128928
27002,0.5,A4,888,0.888,112,0.009378757665758304,0.0,0.06714025630968823,0.08373890772998484,0.05865746981102917,0.22436293051063053
27002,0.6,A4,888,0.888,112,0.009810090974177666,0.0,0.07028075203670452,0.08759009798372916,0.06315522069252555,0.22951288723281718
27002,0.7,A4,882,0.882,118,0.010250594596754535,0.0,0.07547608373952934,0.08686944573520791,0.06422018485070452,0.23440440909779492
27002,0.8,A4,877,0.877,123,0.010718299379533301,0.0,0.08191691430612101,0.08714064536205936,0.06114286393690743,0.23824768861043621
27002,0.9,A4,877,0.877,123,0.011191334354602024,0.0,0.08572288305404031,0.09098645816749612,0.06519586796678649,0.24221788175065492
