tau,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
0.0,h_D->C1,h_D,C1,0.6577004938225415,0.6252491501173607,True
0.0,h_D->C2,h_D,C2,0.4218805496640335,0.3049148696475096,True
0.0,h_D->C3,h_D,C3,0.4712616214695804,0.4220320343087468,True
0.0,h_D->C4,h_D,C4,0.3808366892649374,0.32269510335210616,True
0.0,h_D->C6,h_D,C6,0.5237424630685891,0.4123214319717975,True
0.0,h_D->C7,h_D,C7,0.31416016408454617,0.27257109898658916,True
0.0,h_E->C6,h_E,C6,0.3266532578261139,0.27555688651992993,True
0.0,h_I->C2,h_I,C2,0.2781639869370353,0.20048975060267737,True
0.0,h_I->C4,h_I,C4,0.37555053707087926,0.3327413283163435,True
0.0,h_I->C5,h_I,C5,0.5948931636488278,0.5701057397882139,True
0.0,h_T->C3,h_T,C3,0.31732693711273713,0.29261826954559067,True
0.0,h_T->C7,h_T,C7,0.4776497391379416,0.41859298239010767,True
0.1,h_D->C1,h_D,C1,0.654343307877698,0.6252491501173607,True
0.1,h_D->C2,h_D,C2,0.4218028883566563,0.3049148696475096,True
0.1,h_D->C3,h_D,C3,0.47222938349157717,0.4220320343087468,True
0.1,h_D->C4,h_D,C4,0.3798870707417164,0.32269510335210616,True
0.1,h_D->C6,h_D,C6,0.5243281054283266,0.4123214319717975,True
0.1,h_D->C7,h_D,C7,0.3123692806296326,0.27257109898658916,True
0.1,h_E->C6,h_E,C6,0.32551110268939026,0.27555688651992993,True
0.1,h_I->C2,h_I,C2,0.2778820540245984,0.20048975060267737,True
0.1,h_I->C4,h_I,C4,0.37454069081754954,0.3327413283163435,True
0.1,h_I->C5,h_I,C5,0.5939012351488281,0.5701057397882139,True
0.1,h_T->C3,h_T,C3,0.317632117206815,0.29261826954559067,True
0.1,h_T->C7,h_T,C7,0.47766284660361163,0.41859298239010767,True
0.2,h_D->C1,h_D,C1,0.6502205102673619,0.6252491501173607,True
0.2,h_D->C2,h_D,C2,0.42139645221566835,0.3049148696475096,True
0.2,h_D->C3,h_D,C3,0.47185968000641654,0.4220320343087468,True
0.2,h_D->C4,h_D,C4,0.37941851424530476,0.32269510335210616,True
0.2,h_D->C6,h_D,C6,0.5243430256443474,0.4123214319717975,True
0.2,h_D->C7,h_D,C7,0.3108665209382387,0.27257109898658916,True
0.2,h_E->C6,h_E,C6,0.3236151588118098,0.27555688651992993,True
0.2,h_I->C2,h_I,C2,0.27810976614176564,0.20048975060267737,True
0.2,h_I->C4,h_I,C4,0.3740977001283107,0.3327413283163435,True
0.2,h_I->C5,h_I,C5,0.592246246374884,0.5701057397882139,True
0.2,h_T->C3,h_T,C3,0.31711930864242044,0.29261826954559067,True
0.2,h_T->C7,h_T,C7,0.47682256011070484,0.41859298239010767,True
0.3,h_D->C1,h_D,C1,0.6464451727433569,0.6252491501173607,True
0.3,h_D->C2,h_D,C2,0.42089233630234957,0.3049148696475096,True
0.3,h_D->C3,h_D,C3,0.47206208798558824,0.4220320343087468,True
0.3,h_D->C4,h_D,C4,0.3795512309742847,0.32269510335210616,True
0.3,h_D->C6,h_D,C6,0.5227843694514934,0.4123214319717975,True
0.3,h_D->C7,h_D,C7,0.3112503469461632,0.27257109898658916,True
0.3,h_E->C6,h_E,C6,0.321660397304362,0.27555688651992993,True
0.3,h_I->C2,h_I,C2,0.2773337734199195,0.20048975060267737,True
0.3,h_I->C4,h_I,C4,0.37412648378518515,0.3327413283163435,True
0.3,h_I->C5,h_I,C5,0.5911831773483311,0.5701057397882139,True
0.3,h_T->C3,h_T,C3,0.316247576155346,0.29261826954559067,True
0.3,h_T->C7,h_T,C7,0.47677186759284484,0.41859298239010767,True
0.4,h_D->C1,h_D,C1,0.6411683902391833,0.6252491501173607,True
0.4,h_D->C2,h_D,C2,0.4221410503435465,0.3049148696475096,True
0.4,h_D->C3,h_D,C3,0.4714180686731471,0.4220320343087468,True
0.4,h_D->C4,h_D,C4,0.3798138081413339,0.32269510335210616,True
0.4,h_D->C6,h_D,C6,0.519678710712912,0.4123214319717975,True
0.4,h_D->C7,h_D,C7,0.31162606237063717,0.27257109898658916,True
0.4,h_E->C6,h_E,C6,0.31994596428038163,0.27555688651992993,True
0.4,h_I->C2,h_I,C2,0.27743829195848363,0.20048975060267737,True
0.4,h_I->C4,h_I,C4,0.3750489397879078,0.3327413283163435,True
0.4,h_I->C5,h_I,C5,0.5898789142777945,0.5701057397882139,True
0.4,h_T->C3,h_T,C3,0.3167175204011911,0.29261826954559067,True
0.4,h_T->C7,h_T,C7,0.47713723098952443,0.41859298239010767,True
0.5,h_D->C1,h_D,C1,0.6372846242953562,0.6252491501173607,True
0.5,h_D->C2,h_D,C2,0.4216818383164842,0.3049148696475096,True
0.5,h_D->C3,h_D,C3,0.47052637644380046,0.4220320343087468,True
0.5,h_D->C4,h_D,C4,0.37948461913724074,0.32269510335210616,True
0.5,h_D->C6,h_D,C6,0.5172687251640087,0.4123214319717975,True
0.5,h_D->C7,h_D,C7,0.31364188063927184,0.27257109898658916,True
0.5,h_E->C6,h_E,C6,0.3183285688993055,0.27555688651992993,True
0.5,h_I->C2,h_I,C2,0.27732139320381144,0.20048975060267737,True
0.5,h_I->C4,h_I,C4,0.37494059611690633,0.3327413283163435,True
0.5,h_I->C5,h_I,C5,0.5882274416280633,0.5701057397882139,True
0.5,h_T->C3,h_T,C3,0.31598501058585443,0.29261826954559067,True
0.5,h_T->C7,h_T,C7,0.480328590673216,0.41859298239010767,True
0.6,h_D->C1,h_D,C1,0.6324650733465815,0.6252491501173607,True
0.6,h_D->C2,h_D,C2,0.4203874765738384,0.3049148696475096,True
0.6,h_D->C3,h_D,C3,0.4720316252953553,0.4220320343087468,True
0.6,h_D->C4,h_D,C4,0.3783045136145507,0.32269510335210616,True
0.6,h_D->C6,h_D,C6,0.5138028985113616,0.4123214319717975,True
0.6,h_D->C7,h_D,C7,0.3142039098693171,0.27257109898658916,True
0.6,h_E->C6,h_E,C6,0.31696621014449533,0.27555688651992993,True
0.6,h_I->C2,h_I,C2,0.276746294647228,0.20048975060267737,True
0.6,h_I->C4,h_I,C4,0.37482503413004087,0.3327413283163435,True
0.6,h_I->C5,h_I,C5,0.5859854349353527,0.5701057397882139,True
0.6,h_T->C3,h_T,C3,0.31480787542514005,0.29261826954559067,True
0.6,h_T->C7,h_T,C7,0.4805155866440685,0.41859298239010767,True
0.7,h_D->C1,h_D,C1,0.6282754245365032,0.6252491501173607,True
0.7,h_D->C2,h_D,C2,0.4200391612956632,0.3049148696475096,True
0.7,h_D->C3,h_D,C3,0.4716907166398325,0.4220320343087468,True
0.7,h_D->C4,h_D,C4,0.3758621224345252,0.32269510335210616,True
0.7,h_D->C6,h_D,C6,0.5119642884783263,0.4123214319717975,True
0.7,h_D->C7,h_D,C7,0.3142737130018577,0.27257109898658916,True
0.7,h_E->C6,h_E,C6,0.31468878372715664,0.27555688651992993,True
0.7,h_I->C2,h_I,C2,0.2771828489909349,0.20048975060267737,True
0.7,h_I->C4,h_I,C4,0.37454555753663266,0.3327413283163435,True
0.7,h_I->C5,h_I,C5,0.580893713119254,0.5701057397882139,True
0.7,h_T->C3,h_T,C3,0.3141392376581652,0.29261826954559067,True
0.7,h_T->C7,h_T,C7,0.48026374843356334,0.41859298239010767,True
0.8,h_D->C1,h_D,C1,0.6257350236142147,0.6252491501173607,True
0.8,h_D->C2,h_D,C2,0.418914396667798,0.3049148696475096,True
0.8,h_D->C3,h_D,C3,0.470006269099171,0.4220320343087468,True
0.8,h_D->C4,h_D,C4,0.3746701071117536,0.32269510335210616,True
0.8,h_D->C6,h_D,C6,0.5073856720267351,0.4123214319717975,True
0.8,h_D->C7,h_D,C7,0.31392045079184755,0.27257109898658916,True
0.8,h_E->C6,h_E,C6,0.3136402139034126,0.27555688651992993,True
0.8,h_I->C2,h_I,C2,0.276411630203789,0.20048975060267737,True
0.8,h_I->C4,h_I,C4,0.3734929107180491,0.3327413283163435,True
0.8,h_I->C5,h_I,C5,0.5791810689461228,0.5701057397882139,True
0.8,h_T->C3,h_T,C3,0.31349013772187306,0.29261826954559067,True
0.8,h_T->C7,h_T,C7,0.479192474716636,0.41859298239010767,True
0.9,h_D->C1,h_D,C1,0.622122462807901,0.6252491501173607,False
0.9,h_D->C2,h_D,C2,0.41797103792322204,0.3049148696475096,True
0.9,h_D->C3,h_D,C3,0.4701758511440127,0.4220320343087468,True
0.9,h_D->C4,h_D,C4,0.3725535641316887,0.32269510335210616,True
0.9,h_D->C6,h_D,C6,0.5032558468018716,0.4123214319717975,True
0.9,h_D->C7,h_D,C7,0.3131199172021254,0.27257109898658916,True
0.9,h_E->C6,h_E,C6,0.31287857856353657,0.27555688651992993,True
0.9,h_I->C2,h_I,C2,0.2757383532073684,0.20048975060267737,True
0.9,h_I->C4,h_I,C4,0.37181151099672866,0.3327413283163435,True
0.9,h_I->C5,h_I,C5,0.579043378695551,0.5701057397882139,True
0.9,h_T->C3,h_T,C3,0.3107795387377997,0.29261826954559067,True
0.9,h_T->C7,h_T,C7,0.47725516396085904,0.41859298239010767,True
1.0,h_D->C1,h_D,C1,0.6212434049372725,0.6252491501173607,False
1.0,h_D->C2,h_D,C2,0.41828343601480994,0.3049148696475096,True
1.0,h_D->C3,h_D,C3,0.46885991328345145,0.4220320343087468,True
1.0,h_D->C4,h_D,C4,0.37276659843678067,0.32269510335210616,True
1.0,h_D->C6,h_D,C6,0.4980894087770379,0.4123214319717975,True
1.0,h_D->C7,h_D,C7,0.31275726088826844,0.27257109898658916,True
1.0,h_E->C6,h_E,C6,0.3113178320714999,0.27555688651992993,True
1.0,h_I->C2,h_I,C2,0.27659065629339225,0.20048975060267737,True
1.0,h_I->C4,h_I,C4,0.37247282712732993,0.3327413283163435,True
1.0,h_I->C5,h_I,C5,0.5762090670638655,0.5701057397882139,True
1.0,h_T->C3,h_T,C3,0.3104292196088869,0.29261826954559067,True
1.0,h_T->C7,h_T,C7,0.47650573218720926,0.41859298239010767,True
