seed,tau,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
27001,0.0,h_D,C1,h_D->C1,6,0.08119924081878477,0.12345929732574591,0.6577004938225415
27001,0.0,h_D,C2,h_D->C2,6,0.06162289804099354,0.14606717017327614,0.4218805496640335
27001,0.0,h_D,C3,h_D->C3,5,0.05021258069038075,0.10654926775774096,0.4712616214695804
27001,0.0,h_D,C4,h_D->C4,6,0.044734928378822994,0.1250910695470382,0.35761888151131066
27001,0.0,h_D,C6,h_D->C6,6,0.04027524554507982,0.07646246958506754,0.526732209450092
27001,0.0,h_D,C7,h_D->C7,6,0.03226866698980653,0.10343184926563052,0.3119799870020997
27001,0.0,h_E,C6,h_E->C6,6,0.02483056920364994,0.07646246958506754,0.3247419202920225
27001,0.0,h_I,C2,h_I->C2,6,0.04063062641628706,0.14606717017327614,0.2781639869370353
27001,0.0,h_I,C4,h_I->C4,6,0.04491868936820323,0.1250910695470382,0.3590878991641629
27001,0.0,h_I,C5,h_I->C5,5,0.0973509031057712,0.14734358765032146,0.6607067511899157
27001,0.0,h_T,C3,h_T->C3,5,0.03411664442016493,0.10654926775774096,0.32019595383250404
27001,0.0,h_T,C7,h_T->C7,6,0.04940419582076097,0.10343184926563052,0.4776497391379416
27001,0.1,h_D,C1,h_D->C1,6,0.0809840526102768,0.12351309536260983,0.6556717923056505
27001,0.1,h_D,C2,h_D->C2,6,0.061628584133560996,0.14610754414993246,0.4218028883566563
27001,0.1,h_D,C3,h_D->C3,5,0.05005348859912209,0.10599401551119834,0.47222938349157717
27001,0.1,h_D,C4,h_D->C4,6,0.04456931474488042,0.12565371894723082,0.35469952754237954
27001,0.1,h_D,C6,h_D->C6,6,0.04017381929692568,0.07632984181120325,0.5263186499949339
27001,0.1,h_D,C7,h_D->C7,6,0.03216380355900406,0.10316278089466989,0.31177720569138023
27001,0.1,h_E,C6,h_E->C6,6,0.024764788563291007,0.07632984181120325,0.32444438472990167
27001,0.1,h_I,C2,h_I->C2,6,0.040600664477150814,0.14610754414993246,0.2778820540245984
27001,0.1,h_I,C4,h_I->C4,6,0.04482285048901552,0.12565371894723082,0.3567172612494062
27001,0.1,h_I,C5,h_I->C5,5,0.0973436159846398,0.14653880397478328,0.6642855908713886
27001,0.1,h_T,C3,h_T->C3,5,0.03411095479575611,0.10599401551119834,0.3218196294471969
27001,0.1,h_T,C7,h_T->C7,6,0.04927702758617036,0.10316278089466989,0.47766284660361163
27001,0.2,h_D,C1,h_D->C1,6,0.08078669396301082,0.1234733043170424,0.6542847007230044
27001,0.2,h_D,C2,h_D->C2,6,0.06157601222152562,0.1461237082024363,0.42139645221566835
27001,0.2,h_D,C3,h_D->C3,5,0.04985658511448938,0.10565976968691104,0.47185968000641654
