candidate_id,params,mean_cv_rmse,fold_sd_rmse_ddof0,fold1_rmse,fold2_rmse,fold3_rmse,fold4_rmse,fold5_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,selected
1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017771409303713105,0.0003949232234882526,0.018025012339133225,0.017154761945658896,0.018326028661277544,0.017743813316853856,0.01760743025564202,400,2,0.1,0.8,0.8,5,0.1,1.0,False
2,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018155445668227976,0.0004512270147107252,0.018212343840374436,0.017558029007120307,0.018930520289402442,0.018159896947582823,0.017916438256659874,600,5,0.03,1.0,1.0,1,0.1,5.0,False
3,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.018273396794469276,0.000553586904668549,0.01838101314725899,0.01752430037795609,0.019199440472535363,0.018306500940971346,0.0179557290336246,200,5,0.1,0.8,1.0,5,0.1,1.0,False
4,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017941585911949005,0.00034172848289997247,0.01806230822019136,0.017490523269380807,0.018497243437466462,0.017954866176341275,0.017702988456365122,400,3,0.1,0.8,0.8,5,0.1,1.0,False
5,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.018322823032349937,0.0005181678191688206,0.0183540838208505,0.017726171394080177,0.01927596518850371,0.018159472140616587,0.018098422617698704,200,5,0.1,0.8,1.0,5,0.0,5.0,False
6,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017992457574657096,0.00047851146287612966,0.018063472283065353,0.017406002899824035,0.01882252108173676,0.018004548452070057,0.01766574315658927,400,5,0.03,0.8,1.0,5,0.1,1.0,False
7,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.017839971478469694,0.0003673642302071224,0.018134620952702806,0.017256747213166067,0.01831574611909322,0.01779070061513583,0.017702042492250533,600,2,0.05,1.0,0.8,5,0.0,5.0,False
8,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.01781330767260131,0.00033886421181545285,0.01808607425115852,0.017311114889608674,0.018279209833886402,0.017730568353339464,0.017659571035013484,600,2,0.1,1.0,1.0,1,0.0,1.0,False
9,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.01824394046007894,0.0003293347455783319,0.018414242538497754,0.017674228104744085,0.018671879580644698,0.018280632240625233,0.018178719835882942,400,2,0.03,0.8,1.0,1,0.1,1.0,False
10,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018199562351850728,0.0003412781526380778,0.018329433803777127,0.01771420638472103,0.01873440727289227,0.018227722531083186,0.017992041766780036,400,3,0.03,1.0,1.0,5,0.1,1.0,False
11,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018055128750366533,0.0003819186100654257,0.018358025163540747,0.017425183071095862,0.018533534724373368,0.017993674058840232,0.017965226733982462,600,2,0.03,1.0,0.8,1,0.0,1.0,False
12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.018451142555846213,0.000475370603451802,0.018488683736657137,0.01791756399163945,0.01932363418209883,0.01833930290829167,0.018186527960543982,400,5,0.1,1.0,0.8,1,0.1,5.0,False
