ctx,policy,seed,n,time,co2,dist,p95,ins,bg_t,bg_co2,net_co2,stopped,dflt,wape,bias,demand,bg,restr,signal,mass,speed_ratio
D001,SP,8101,375,336.71733333333333,906.0946823370504,3203.72,356,0.0986666666666666,236.98677248677248,578.6863631529501,558528.951148209,78535,0,0.0466653661994221,0.0150335875234159,720,200,None,Balanced,0.00145154017704,1
D001,SP,8102,392,337.4872448979592,910.7497573812284,3203.7200000000007,357,0.125,238.77777777777777,583.9838383188488,583015.6503228361,78516,0,0.0429209820352331,0.0041563172575406,720,200,None,Balanced,0.0014535983643061,1
D001,SP,8103,361,336.7091412742382,906.86264443067,3203.7200000000003,356,0.1412742382271468,237.02756892230576,579.2319598187086,558490.9666071367,75179,0,0.0432906112738029,0.005316134053717,720,200,None,Balanced,0.0014707610363548,1
D001,DTT,8101,375,368.41333333333336,979.3578975086932,3635.129306666666,426,0.0986666666666666,236.98677248677248,578.6863631529501,586002.6568375751,73009,0.7597105864432597,0.1829427488805199,0.1571359829143324,720,200,None,Balanced,0.0013760459859916,1
D001,DTT,8102,392,373.07142857142856,990.2563258401664,3629.605918367347,441.45,0.125,238.77777777777777,583.9838383188488,614182.2251587396,73747,0.7839506172839507,0.1770347940509947,0.1364892669340288,720,200,None,Balanced,0.0013839282265652,1
D001,DTT,8103,361,360.9335180055402,958.8046202068426,3634.414515235457,412,0.1412742382271468,237.02756892230576,579.2319598187086,577242.019862335,67872,0.7612176319430718,0.1701534459251232,0.1478919535218152,720,200,None,Balanced,0.0014196906790323,1
D001,ECO,8101,375,336.71733333333333,906.0946823370504,3203.72,356,0.0986666666666666,236.98677248677248,578.6863631529501,558528.951148209,78535,0,0.0466653661994221,0.0150335875234159,720,200,None,Balanced,0.00145154017704,1
D001,ECO,8102,392,337.4872448979592,910.7497573812284,3203.7200000000007,357,0.125,238.77777777777777,583.9838383188488,583015.6503228361,78516,0,0.0429209820352331,0.0041563172575406,720,200,None,Balanced,0.0014535983643061,1
D001,ECO,8103,361,336.7091412742382,906.86264443067,3203.7200000000003,356,0.1412742382271468,237.02756892230576,579.2319598187086,558490.9666071367,75179,0,0.0432906112738029,0.005316134053717,720,200,None,Balanced,0.0014707610363548,1
D001,TECO05,8101,375,360.816,971.2491782438292,3594.5122933333328,410.3,0.0986666666666666,237.01322751322752,578.7358063138372,582980.5766280664,73371,0.6332551778038297,0.175517349568235,0.1277376110667414,720,200,None,Balanced,0.0013588955404701,1
